display,code,extension
3D Crossword Plugin,application/vnd.hzn-3d-crossword,.x3d
3GP,video/3gpp,.3gp
3GP2,video/3gpp2,.3g2
3GPP MSEQ File,application/vnd.mseq,.mseq
3M Post It Notes,application/vnd.3m.post-it-notes,.pwn
3rd Generation Partnership Project - Pic Large,application/vnd.3gpp.pic-bw-large,.plb
3rd Generation Partnership Project - Pic Small,application/vnd.3gpp.pic-bw-small,.psb
3rd Generation Partnership Project - Pic Var,application/vnd.3gpp.pic-bw-var,.pvb
3rd Generation Partnership Project - Transaction Capabilities Application Part,application/vnd.3gpp2.tcap,.tcap
7-Zip,application/x-7z-compressed,.7z
AbiWord,application/x-abiword,.abw
Ace Archive,application/x-ace-compressed,.ace
Active Content Compression,application/vnd.americandynamics.acc,.acc
ACU Cobol,application/vnd.acucobol,.acu
ACU Cobol,application/vnd.acucorp,.atc
Adaptive differential pulse-code modulation,audio/adpcm,.adp
Adobe (Macropedia) Authorware - Binary File,application/x-authorware-bin,.aab
Adobe (Macropedia) Authorware - Map,application/x-authorware-map,.aam
Adobe (Macropedia) Authorware - Segment File,application/x-authorware-seg,.aas
Adobe AIR Application,application/vnd.adobe.air-application-installer-package+zip,.air
Adobe Flash,application/x-shockwave-flash,.swf
Adobe Flex Project,application/vnd.adobe.fxp,.fxp
Adobe Portable Document Format,application/pdf,.pdf
Adobe PostScript Printer Description File Format,application/vnd.cups-ppd,.ppd
Adobe Shockwave Player,application/x-director,.dir
Adobe XML Data Package,application/vnd.adobe.xdp+xml,.xdp
Adobe XML Forms Data Format,application/vnd.adobe.xfdf,.xfdf
Advanced Audio Coding (AAC),audio/x-aac,.aac
Ahead AIR Application,application/vnd.ahead.space,.ahead
AirZip FileSECURE,application/vnd.airzip.filesecure.azf,.azf
AirZip FileSECURE,application/vnd.airzip.filesecure.azs,.azs
Amazon Kindle eBook format,application/vnd.amazon.ebook,.azw
AmigaDE,application/vnd.amiga.ami,.ami
Andrew Toolkit,application/andrew-inset,N/A
Android Package Archive,application/vnd.android.package-archive,.apk
ANSER-WEB Terminal Client - Certificate Issue,application/vnd.anser-web-certificate-issue-initiation,.cii
ANSER-WEB Terminal Client - Web Funds Transfer,application/vnd.anser-web-funds-transfer-initiation,.fti
Antix Game Player,application/vnd.antix.game-component,.atx
Apple Disk Image,application/x-apple-diskimage,.dmg
Apple Installer Package,application/vnd.apple.installer+xml,.mpkg
Applixware,application/applixware,.aw
Archipelago Lesson Player,application/vnd.hhe.lesson-player,.les
Archive document - Multiple Fils Embedded,application/x-freearc,.arc
Arista Networks Software Image,application/vnd.aristanetworks.swi,.swi
Assembler Source File,text/x-asm,.s
Atom Publishing Protocol,application/atomcat+xml,.atomcat
Atom Publishing Protocol Service Document,application/atomsvc+xml,.atomsvc
Atom Syndication Format,application/atom+xml,".atom, .xml"
Attribute Certificate,application/pkix-attr-cert,.ac
Audio Interchange File Format,audio/x-aiff,.aif
Audio Video Interleave (AVI),video/x-msvideo,.avi
Audiograph,application/vnd.audiograph,.aep
AutoCAD DXF,image/vnd.dxf,.dxf
Autodesk Design Web Format (DWF),model/vnd.dwf,.dwf
AV1 Image File,image/avif,.avif
BAS Partitur Format,text/plain-bas,.par
Binary CPIO Archive,application/x-bcpio,.bcpio
Binary Data,application/octet-stream,.bin
Bitmap Image File,image/bmp,.bmp
BitTorrent,application/x-bittorrent,.torrent
Blackberry COD File,application/vnd.rim.cod,.cod
Blueice Research Multipass,application/vnd.blueice.multipass,.mpm
BMI Drawing Data Interchange,application/vnd.bmi,.bmi
Bourne Shell Script,application/x-sh,.sh
BTIF,image/prs.btif,.btif
BusinessObjects,application/vnd.businessobjects,.rep
Bzip Archive,application/x-bzip,.bz
Bzip2 Archive,application/x-bzip2,.bz2
C Shell Script,application/x-csh,.csh
C Source File,text/x-c,.c
CambridgeSoft Chem Draw,application/vnd.chemdraw+xml,.cdxml
Cascading Style Sheets (CSS),text/css,.css
CD Audio,application/x-cdf,.cda
ChemDraw eXchange file,chemical/x-cdx,.cdx
Chemical Markup Language,chemical/x-cml,.cml
Chemical Style Markup Language,chemical/x-csml,.csml
CIM Database,application/vnd.contact.cmsg,.cdbcmsg
Claymore Data Files,application/vnd.claymore,.cla
Clonk Game,application/vnd.clonk.c4group,.c4g
Close Captioning - Subtitle,image/vnd.dvb.subtitle,.sub
Cloud Data Management Interface (CDMI) - Capability,application/cdmi-capability,.cdmia
Cloud Data Management Interface (CDMI) - Contaimer,application/cdmi-container,.cdmic
Cloud Data Management Interface (CDMI) - Domain,application/cdmi-domain,.cdmid
Cloud Data Management Interface (CDMI) - Object,application/cdmi-object,.cdmio
Cloud Data Management Interface (CDMI) - Queue,application/cdmi-queue,.cdmiq
