code,display
1001,Saraf
1002,Stroke dan neurovaskular
1003,Fungsi luhur (neurobehaviour)
1004,Neuroinfeksi dan imunologi
1005,Neuro onkologi
1006,Neurofisiologi dan neuromuskular
1007,Epilepsi
1008,Neuropediatri
1009,Nyeri
1010,Nyeri kepala
1011,Movement disorder/gangguan gerak
1012,Sleep disorder
1013,Neuro-otologi dan vertigo
1014,Neurorestorasi
1015,Neurotrauma
1016,Neurointensif
1017,Neuroimaging
1018,Neurogeriatri
1019,Neurointervensi
1020,Neurofisiologi Klinis
1021,"Neuromuskular, Saraf Perifer"
1022,Neuropsikiatri dan Psikometri
1023,Mata
1024,Mata infeksi imunologi
1025,Glaukoma
1026,"Kornea, lensa, dan bedah refraktif"
1027,Neuro oftalmologi
1028,Pediatri onkologi strabismus
1029,Refraksi lensa kontak
1030,Rekonstruksi okuloplasti dan onkologi
1031,Vitreo retina
1032,Onkologi Mata
1033,Strabismus
1034,Telinga hidung tenggorok dan bedah kepala leher (THT-KL)
1035,Otologi 
1036,Rinologi 
1037,Onkologi bedah kepala leher 
1038,Laring faring 
1039,Neurotologi
1040,Endoskopi bronkoesofagologi
1041,THT-KL alergi imunologi 
1042,THT-KL plastik rekonstruksi
1043,THT komunitas
1044,Gigi 
1045,Gigi radiologi 
1046,Bedah mulut
1047,Konservasi/endodonsi
1048,Ortodontik
1049,Periodonti
1050,Prosthodonti
1051,Pedodonti
1052,Penyakit mulut 
1053,Paru
1054,Infeksi paru 
1055,Onkologi toraks 
1056,Paru intervensi dan gawat nafas 
1057,Asma penyakit paru obstruktif kronis 
1058,Paru kerja dan lingkungan 
1059,Imunologi paru 
1060,Faal Paru Klinik
1061,Jantung dan pembuluh darah
1062,Aritmia
1063,Ekokardiografi
1064,Kardiologi intervensi
1065,Kardiologi pediatrik dan penyakit jantung bawaan
1066,Kedokteran vaskular 
1067,Pencitraan kardiovaskular 
1068,Perawatan intensif dan kegawatan kardiovaskular
1069,Prevensi dan rehabilitasi kardiovaskular
1070,Umum 
1071,Penyakit dalam
1072,Penyakit dalam gastroenterologi hepatologi 
1073,Penyakit dalam tropik infeksi 
1074,Penyakit dalam ginjal hipertensi 
1075,Penyakit dalam rematologi 
1076,Penyakit dalam endokrin metabolik 
1077,Penyakit dalam alergi imunologi 
1078,Penyakit dalam psikosomatis 
1079,Penyakit dalam geriatri 
1080,Penyakit dalam kardiovaskular 
1081,Penyakit dalam pulmonologi 
1082,Penyakit dalam hematoonkologi 
1083,Hepatologi
1084,Reumatologi
1085,Hemodialisa
1086,Kulit dan kelamin
1087,Dermatologi tropis
1088,Venereologi
1089,Dermato alergi imunologi
1090,Dermatologi anak
1091,Dermatologi kosmetik dan estetik
1092,Onkologi dan bedah kulit
1093,Dermatologi Geriatrik
1094,Dermatopatologi
1095,Anak
1096,Anak respirologi 
1097,Anak neurologi 
1098,Anak hematoonkologi 
1099,Anak nefrologi 
1100,Emergensi dan rawat intensif anak 
1101,Neonatologi 
1102,Perinatologi
1103,Anak endokrinologi 
1104,Anak kardiologi 
1105,Anak alergi imunologi 
1106,Pediatri sosial tumbuh kembang 
1107,Pencitraan pediatri 
1108,Pediatrik Oftalmologi
1109,Anak nutrisi dan penyakit metabolik 
1110,Anak infeksi dan penyakit tropik 
1111,Anak Gastro-Hepatologi
1112,Kesehatan Remaja
1113,Bedah
1114,Bedah digestif 
1115,Bedah onkologi 
1116,Bedah vaskular
1117,Bedah kepala leher
1118,Bedah toraks kardiak dan vaskular
1119,Obstetri dan ginekologi
1120,Fetomaternal
1121,Fertilitas dan endokrinologi reproduksi
1122,Onkologi ginekologi
1123,Uroginekologi dan rekonstruksi
1124,Ginekologi sosial
1125,Urologi
1126,Urologi onkologi
1127,Urologi pediatri
1128,Urologi wanita dan neuro-urologi
1129,Urologi rekonstruksi
1130,Urologi andrologi
1131,Kedokteran jiwa
1132,Kesehatan jiwa anak dan remaja
1133,Psikiatri adiksi
1134,Psikoterapi 
1135,Psikiatri forensik 
1136,Psikogeriatri
1137,Psikiatri komunitas 
1138,Orthopedi dan traumatologi
1139,Orthopedic spine
1140,Hip and knee
1141,"Hand, upper limb and microsurgery "
1142,Orthopedic oncology 
1143,Pediatric orthopedic
1144,Foot and ankle 
1145,Shoulder and elbow 
1146,Advance orthopedic trauma
1147,Orthopedic sports injury
1148,Bio Orthopedic
1149,Bedah saraf
1150,Bedah saraf neurotrauma
1151,Bedah saraf neuro onkologi
1152,Bedah saraf neurospine
1153,Bedah saraf neurofungsional
1154,Bedah saraf neuropediatri
1155,Bedah saraf neurovaskular
1156,Bedah plastik rekonstruksi dan estetika
1157,Bedah plastik rekonstruksi dan estetika kraniomaksilofasial
1158,Bedah plastik rekonstruksi dan estetika luka bakar dan luka
1159,Bedah plastik rekonstruksi dan estetika rekonstruksi bedah mikro dan onkoplasti
1160,Bedah plastik rekonstruksi dan estetika bedah tangan
1161,Bedah plastik rekonstruksi dan estetika genitalia eksterna
1162,Bedah plastik rekonstruksi dan estetika bedah estetik lanjut
1163,Rekonstruksi
1164,Trauma dan Rekonstruksi
1165,Bedah anak
1166,Bedah digestif anak 
1167,Urogenital anak 
1168,Kedokteran forensik dan medikolegal
1169,Anestesi dan terapi intensif
1170,Intensive care
1171,Regional anestesi
1172,Kardiovaskular anestesi
1173,Terapi nyeri
1174,Pediatrik anestesi
1175,Neuroanestesi
1176,Obstetrik anestesi
1177,Kedokteran fisik dan rehabilitasi
1178,Kedokteran fisik dan rehabilitasi pediatri
1179,Kedokteran fisik dan rehabilitasi geriatri
1180,Kedokteran fisik dan rehabilitasi muskuloskeletal
1181,Kedokteran fisik dan rehabilitasi neomuskuler
1182,Kedokteran fisik dan rehabilitasi kardiorespirasi
1183,Radiologi 
1184,Neuroradiologi kepala leher
1185,Radiologi abdomen
1186,Radiologi intervensi
1187,Radiologi anak
1188,Radiologi toraks
1189,Pencitraan payudara dan reproduksi perempuan
1190,Radiologi muskuloskeletal
1191,Kedokteran nuklir dan pencitraan molekuler
1192,Radiologi Tr Urinariusgenitalia
1193,Radiologi Tr Digestivus
1194,Pencitraan Kepala Leher
1195,Patologi klinik
1196,Patologi klinik mikrobiologi klinik dan penyakit infeksi
1197,Patologi klinik hematologi
1198,Patologi klinik metabolik endokrinologi
1199,Patologi klinik gastroenterohepatologi
1200,Patologi klinik imunologi
1201,Patologi klinik penyakit infeksi
1202,Patologi klinik nefrologi gastroenterohepatologi
1203,Patologi klinik hematologi onkologi
1204,Patologi klinik penyakit tropik dan Infeksi
1205,Patologi klinik endokrinologi
1206,Patologi anatomi 
1207,Mikrobiologi klinik 
1208,Parasitologi klinik 
1209,Akupuntur 
1210,Radioterapi 
1211,Kedokteran nuklir 
1212,Kedokteran nuklir onkologi
1213,Kedokteran nuklir kardiologi nuklir
1214,Kedokteran nuklir pediatrik
1215,Gizi klinik 
1216,Nutrisi pada kelainan metabolisme gizi
1217,Nutrisi pada Critical Care
1218,Andrologi 
1219,Emergensi
1220,Farmakologi klinik
1221,Kedokteran kelautan 
1222,Kedokteran okupasi 
1223,Kedokteran olahraga 
1224,Onkologi radiasi
1225,Kedokteran Keluarga
1226,Kedokteran Penerbangan
1227,Lainnya
1228,Radiologi Onkologi 
1229,HIV-ODHA
1230,Infeksi
1231,Neuroinfeksi
1232,Infeksi dan Immunologi
1233,Infeksi Menular Seksual
1234,Imunologi Klinik
1235,Sarana Kemoterapi
1236,Sarana Radioterapi
1237,Consultation-Liaison Psychiatri
1238,Instalasi Gawat Darurat
