code,definition,display,
00.01,Therapeutic ultrasound of vessels of head and neck,Ther ult head & neck ves,
00.02,Therapeutic ultrasound of heart,Ther ultrasound of heart,
00.03,Therapeutic ultrasound of peripheral vascular vessels,Ther ult peripheral ves,
00.09,Other therapeutic ultrasound,Other therapeutic ultsnd,
00.10,Implantation of chemotherapeutic agent,Implant chemothera agent,
00.11,Infusion of drotrecogin alfa (activated),Infus drotrecogin alfa,
00.12,Administration of inhaled nitric oxide,Adm inhal nitric oxide,
00.13,Injection or infusion of nesiritide,Inject/infus nesiritide,
00.14,Injection or infusion of oxazolidinone class of antibiotics,Injection oxazolidinone,
00.15,High-dose infusion interleukin-2 [IL-2],High-dose infusion IL-2,
00.16,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance,Pressurized treat graft,
00.17,Infusion of vasopressor agent,Infusion of vasopressor,
00.18,Infusion of immunosuppressive antibody therapy,Infus immunosup antibody,
00.19,Disruption of blood brain barrier via infusion [BBBD],BBBD via infusion,
00.21,Intravascular imaging of extracranial cerebral vessels,IVUS extracran cereb ves,
00.22,Intravascular imaging of intrathoracic vessels,IVUS intrathoracic ves,
00.23,Intravascular imaging of peripheral vessels,IVUS peripheral vessels,
00.24,Intravascular imaging of coronary vessels,IVUS coronary vessels,
00.25,Intravascular imaging of renal vessels,IVUS renal vessels,
00.28,"Intravascular imaging, other specified vessel(s)",Intravascul imaging NEC,
00.29,"Intravascular imaging, unspecified vessel(s)",Intravascul imaging NOS,
00.31,Computer assisted surgery with CT/CTA,CAS w CT/CTA,
00.32,Computer assisted surgery with MR/MRA,CAS w MR/MRA,
00.33,Computer assisted surgery with fluoroscopy,CAS w fluoroscopy,
00.34,Imageless computer assisted surgery,Imageless comp asst surg,
00.35,Computer assisted surgery with multiple datasets,CAS w multiple datasets,
00.39,Other computer assisted surgery,Other CAS,
00.40,Procedure on single vessel,Procedure-one vessel,
00.41,Procedure on two vessels,Procedure-two vessels,
00.42,Procedure on three vessels,Procedure-three vessels,
00.43,Procedure on four or more vessels,Procedure-four+ vessels,
00.44,Procedure on vessel bifurcation,Proc-vessel bifurcation,
00.45,Insertion of one vascular stent,Insert 1 vascular stent,
00.46,Insertion of two vascular stents,Insert 2 vascular stents,
00.47,Insertion of three vascular stents,Insert 3 vascular stents,
00.48,Insertion of four or more vascular stents,Insert 4+ vasculr stents,
00.49,Supersaturated oxygen therapy,SuperSat O2 therapy,
00.50,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]",Impl CRT pacemaker sys,
00.51,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]",Impl CRT defibrillat sys,
00.52,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system,Imp/rep lead lf ven sys,
00.53,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P],Imp/rep CRT pacemakr gen,
