code,display,definition
1,Therapy Appropriate,Confirmed drug therapy appropriate
2,Assessed Patient,"Assessed patient, therapy is appropriate"
3,Patient Explanation,Patient gave adequate explanation
4,Consulted Other Source,"Consulted other supply source, therapy still appropriate"
5,Consulted Prescriber,"Consulted prescriber, therapy confirmed"
6,Prescriber Declined Change,"Consulted prescriber and recommended change, prescriber declined"
7,Interacting Therapy No Longer Active/Planned,Concurrent therapy triggering alert is no longer on-going or planned
8,Other Action Taken,"Order is performed as issued, but other action taken to mitigate potential adverse effects"
9,Instituted Ongoing Monitoring Program,Arranged to monitor patient for adverse effects
10,Provided Patient Education,Provided education or training to the patient on appropriate therapy use
11,Added Concurrent Therapy,Instituted an additional therapy to mitigate potential negative effects
12,Temporarily Suspended Concurrent Therapy,Suspended existing therapy that triggered interaction for the duration of this therapy
13,Stopped Concurrent Therapy,Aborted existing therapy that triggered interaction.
14,Supply Appropriate,Confirmed supply action appropriate
15,Replacement,Patient's existing supply was lost/wasted
16,Vacation Supply,Supply date is due to patient vacation
17,Weekend Supply,Supply date is intended to carry patient over weekend
18,Leave of Absence,Supply is intended for use during a leave of absence from an institution.
19,Consulted Supplier,"Consulted other supplier/pharmacy, therapy confirmed"
20,additional quantity on separate dispense,Description: Supply is different than expected as an additional quantity has been supplied in a separate dispense.
21,authorization confirmed,Description: Indicates that the permissions have been externally verified and the request should be processed.
22,appropriate indication or diagnosis,Description: The patient has the appropriate indication or diagnosis for the action to be taken.
23,prior therapy documented,Description: It has been confirmed that the appropriate pre-requisite therapy has been tried.
_ActPatientAnnotationType,ActPatientAnnotationType,Description:Provides a categorization for annotations recorded directly against the patient .
_ActUSPrivacyLaw,_ActUSPrivacyLaw,"Definition: A jurisdictional mandate in the U.S. relating to privacy. Usage Note: ActPrivacyLaw codes may be associated with an Act or a Role to indicate the legal provision to which the assignment of an Act.confidentialityCode or Role.confidentialtyCode complies. May be used to further specify rationale for assignment of other ActPrivacyPolicy codes in the US realm, e.g., ETH and 42CFRPart2 can be differentiated from ETH and Title38Part1."
_ImmunizationObservationType,ImmunizationObservationType,Description: Observation codes which describe characteristics of the immunization material.
_ObservationQualityMeasureAttribute,ObservationQualityMeasureAttribute,Codes used to define various metadata aspects of a health quality measure.
_PatientImmunizationRelatedObservationType,PatientImmunizationRelatedObservationType,Description: Reporting codes that are related to an immunization event.
21611-9,age patient qn est,Definition:Estimated age.
21612-7,age patient qn reported,Definition:Reported age.
29553-5,age patient qn calc,Definition:Calculated age.
30525-0,age patient qn definition,Definition:General specification of age with no implied method of determination.
30972-4,age at onset of adverse event,Definition:Age at onset of associated adverse event; no implied method of determination.
42CFRPart2,42 CFR Part2,42 CFR Part 2 stipulates the right of an individual who has applied for or been given diagnosis or treatment for alcohol or drug abuse at a federally assisted program. Definition: Non-disclosure of health information relating to health care paid for by a federally assisted substance abuse program without patient consent. Usage Note: May be associated with an Act or a Role to indicate the legal provision to which the assignment of an Act.confidentialityCode or Role.confidentialityCode complies.
AA,adjudicated with adjustments,The invoice element has been accepted for payment but one or more adjustment(s) have been made to one or more invoice element line items (component charges). Also includes the concept 'Adjudicate as zero' and items not covered under a particular Policy. Invoice element can be reversed (nullified). Recommend that the invoice element is saved for DUR (Drug Utilization Reporting).
AALC,accredited assisted living care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the respective accreditation agency.
AAMC,accredited ambulatory care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the respective accreditation agency.
ABHC,accredited behavioral health care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the respective accreditation agency.
ABUSE,commonly abused/misused alert,Description:The proposed therapy is frequently misused or abused and therefore should be used with caution and/or monitoring.
ACAC,accredited critical access hospital care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the respective accreditation agency.
ACADR,adverse drug reaction access,"Description: Provide consent to collect, use, disclose, or access adverse drug reaction information for a patient."
ACALL,all access,"Description: Provide consent to collect, use, disclose, or access all information for a patient."
ACALLG,allergy access,"Description: Provide consent to collect, use, disclose, or access allergy information for a patient."
ACCESSCONSCHEME,access control scheme,"An access control policy specific to the type of access control scheme, which is used to enforce one or more authorization policies. Usage Note: Access control schemes are the type of access control policy, which is comprised of access control policy rules concerning the provision of the access control service. There are two categories of access control policies, rule-based and identity-based, which are identified in CCITT Rec. X.800 aka ISO 7498-2. Rule-based access control policies are intended to apply to all access requests by any initiator on any target in a security domain. Identity-based access control policies are based on rules specific to an individual initiator, a group of initiators, entities acting on behalf of initiators, or originators acting in a specific role. Context can modify rule-based or identity-based access control policies. Context rules may define the entire policy in effect. Real systems will usually employ a combination of these policy types; if a rule-based policy is used, then an identity-based policy is usually in effect also. An access control scheme may be based on access control lists, capabilities, labels, and context or a combination of these. An access control scheme is a component of an access control mechanism or ""service"") along with the supporting mechanisms required by that scheme to provide access control decision information (ADI) supplied by the scheme to the access decision facility (ADF also known as a PDP). (Based on ISO/IEC 10181-3:1996) Examples: Attribute Based Access Control (ABAC) Discretionary Access Control (DAC) History Based Access Control (HBAC) Identity Based Access Control (IBAC) Mandatory Access Control (MAC) Organization Based Access Control (OrBAC) Relationship Based Access Control (RelBac) Responsibility Based Access Control (RespBAC) Risk Adaptable Access Control (RAdAC) >"
ACCONS,informational consent access,"Description: Provide consent to collect, use, disclose, or access informational consent information for a patient."
ACCTRECEIVABLE,account receivable,"An account for collecting charges, reversals, adjustments and payments, including deductibles, copayments, coinsurance (financial transactions) credited or debited to the account receivable account for a patient's encounter."
ACDEMO,demographics access,"Description: Provide consent to collect, use, disclose, or access demographics information for a patient."
ACDI,diagnostic imaging access,"Description: Provide consent to collect, use, disclose, or access diagnostic imaging information for a patient."
ACH,Automated Clearing House,Automated Clearing House (ACH).
ACHC,accredited hospital care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the respective accreditation agency.
ACID,Acidification,The lowering of specimen pH through the addition of an acid
ACIMMUN,immunization access,"Description: Provide consent to collect, use, disclose, or access immunization information for a patient."
ACLAB,lab test result access,"Description: Provide consent to collect, use, disclose, or access lab test result information for a patient."
ACMED,medication access,"Description: Provide consent to collect, use, disclose, or access medical condition information for a patient."
ACMEDC,medical condition access,Definition: Provide consent to view or access medical condition information for a patient.
ACMEN,mental health access,"Description:Provide consent to collect, use, disclose, or access mental health information for a patient."
ACOBS,common observations access,"Description: Provide consent to collect, use, disclose, or access common observation information for a patient."
ACOCOMPT,accountable care organization compartment,"A group of health care entities, which may include health care providers, care givers, hospitals, facilities, health plans, and other health care constituents who coordinate care for reimbursement based on quality metrics for improving outcomes and lowering costs, and may be authorized to access the consumer's health information because of membership in that group. Security Compartment Labels assigned to a consumer's information use in accountable care workflows should be met or exceeded by the Security Compartment attribute claimed by a participant in a an accountable care workflow who is requesting access to that information"
ACPOLPRG,policy or program information access,"Description: Provide consent to collect, use, disclose, or access coverage policy or program for a patient."
ACPROV,provider information access,"Description: Provide consent to collect, use, disclose, or access provider information for a patient."
ACPSERV,professional service access,"Description: Provide consent to collect, use, disclose, or access professional service information for a patient."
ACSUBSTAB,substance abuse access,"Description:Provide consent to collect, use, disclose, or access substance abuse information for a patient."
ACU,short term/acute,Definition:A list of medications which the patient is only expected to consume for the duration of the current order or limited set of orders and which is not expected to be renewed.
ACUTE,inpatient acute,An acute inpatient encounter.
ADALRT,adult alert,Proposed therapy is outside of the standard practice for an adult patient.
ADMDX,admitting diagnosis,Admitting diagnosis are the diagnoses documented for administrative purposes as the basis for a hospital admission.
ADNFPPELAT,adjud. nullified prior-period electronic amount,"Identifies the total net amount of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date), subsequently cancelled in the specified period and submitted electronically."
ADNFPPELCT,adjud. nullified prior-period electronic count,"Identifies the total number of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date), subsequently cancelled in the specified period and submitted electronically."
ADNFPPMNAT,adjud. nullified prior-period manual amount,"Identifies the total net amount of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date), subsequently cancelled in the specified period and submitted manually."
ADNFPPMNCT,adjud. nullified prior-period manual count,"Identifies the total number of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date), subsequently cancelled in the specified period and submitted manually."
ADNFSPELAT,adjud. nullified same-period electronic amount,"Identifies the total net amount of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date), subsequently nullified in the specified period and submitted electronically."
ADNFSPELCT,adjud. nullified same-period electronic count,"Identifies the total number of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date), subsequently nullified in the specified period and submitted electronically."
ADNFSPMNAT,adjud. nullified same-period manual amount,"Identifies the total net amount of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date), subsequently cancelled in the specified period and submitted manually."
ADNFSPMNCT,adjud. nullified same-period manual count,"Identifies the total number of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date), subsequently cancelled in the specified period and submitted manually."
