code,display,definition
116289008,Abdominal bloating,Kembung
398212009,Watery stool,BAB cair
398032003,Loose stool,BAB lembek
422587007,Nausea,Mual
16932000,Nausea and vomiting,Mual dan muntah
386661006,Fever,Demam
21522001,Abdominal pain,Nyeri perut
34095006,Dehydration,Dehidrasi
405729008,Bloody stool,BAB darah
271864008,Mucus stool,BAB lendir
422400008,Vomiting,Muntah
49727002,Cough,Batuk
84229001,Fatigue,Kelelahan
367391008,Malaise,Malaise
43724002,Chill,Menggigil
57676002,Arthralgia,Nyeri sendi
62315008,Diarrhea,Diare
18165001,Jaundice,Kuning
25064002,Headache,Nyeri kepala
91175000,Seizure,Kejang
40917007,Clouded consciousness,Kebingungan
415690000,Sweating,Berkeringat
68962001,Muscle pain,Nyeri otot
79890006,Loss of appetite,Hilang nafsu makan
64379006,Decrease in appetite,Penurunan nafsu makan
271807003,Skin rash,Ruam kulit
249366005,Bleeding from nose,Mimisan
86276007,Bleeding gums,Gusi berdarah
424131007,Easy bruising,Mudah memar
267102003,Sore throat,Nyeri tenggorokan
50091001,Petechiae,Petekie
34436003,Hematuria,BAK berdarah
8765009,Hematemesis,Hematemesis
30233002,Swallowing painful,Nyeri telan
64531003,Nasal discharge,Pilek
443371007,Decreased level of consciousness,Penurunan kesadaran
274640006,Fever with chills,Demam menggigil 
267036007,Dyspnea,Sesak nafas 
271823003,Tachypnea,Takipnea 
11833005,Dry cough,Batuk kering
28743005,Productive cough,Batuk berdahak
29857009,Chest pain,Nyeri dada
89362005,Weight loss,Penurunan berat badan
271795006,Malaise and fatigue,Malaise dan kelelahan
267096005,Frontal headache,Nyeri kepala bagian depan 
698193000,Coating of mucous membrane of tongue,Lidah kotor 
14760008,Constipation ,Konstipasi 
52613005,Excessive sweating,Keringat berlebihan 
301345002,Difficulty sleeping,Sulit tidur
418290006,Itching,Gatal
39575007,Urine looks dark,Urin gelap
703630003,Red eye,Mata merah
26710200,Sore throat,Nyeri tenggorokan
289195008,Slurred speech,Cadel
76067001,Sneezing,Bersin
68235000,Nasal congestion,Hidung tersumbat
193982009,Epiphora,Epifora
304213008,Low-grade fever,Demam ringan
44695005,Paralysis,Paralisis
786837007,Tingling,Kesemutan
288509005,Burning of skin,Rasa terbakar
193462001,Insomnia,Insomnia
48694002,Anxiety,Cemas
44548000,Hyperactivity,Hiperaktif
24199005,Feeling agitated,Gelisah
7011001,Hallucinations,Halusinasi
399122003,Swallowing Problem,Sulit menelan
399907009,Animal bite wound,Luka gigitan hewan
3424008,Tachycardia,Takikardia
271687003,Swelling of scrotum,Skrotum bengkak
267055007,Black feces,BAB hitam
2506400,Headache ,Sakit kepala 
444237009,Risk of exposure to Leptospira (situation),Risiko paparan Leptospirosis 
444397009,Exposure to Leptospira (event),Paparan terhadap leptospirosis
55300003,Cramp,Kram 
45007003,Low blood pressure,Tekanan darah rendah 
18425006,Passage of rice water stools (finding) |,Feses seperti cucian beras
224960004,Tired,Lelah
161882006,Stiff neck,Kaku leher 
214264003,Lethargy,Letargi 
95629002,Excessive crying of newborn,Tangis berlebihan pada bayi baru lahir 
288980000,Difficulty sucking,Kesulitan saat menyusu
40739000,Dysphagia,Nyeri telan
419045004,Loss of consciousness,Penurunan kesadaran 
44169009,Anosmia,Anosmia (kehilangan penciuman) 
36955009,Augesia ,Augesia (kehilangan pengecapan) 
840546002,Exposure to severe acute respiratory syndrome coronavirus 2 (event),Paparan COVID-19 
267023007,Excessive eating - polyphagia,Polifagia
28442001,Polyuria,Poliuria
17173007,Excessive thirst,Polidipsi
13791008,Asthenia,Lemah
62507009,Pins and needles,Kesemutan
111516008,Blurring of visual image,Mata kabur
67882000,Pruritus of vulva,Pruritus vulvae
789507005,Delayed healing of wound,Luka sulit sembuh
66857006,Hemoptysis,Batuk darah
42984000,Night sweats,Keringat malam
248268002,Tires quickly,Mudah lelah
20022000,Hemiparesis,Hemiparesis
50582007,Hemiplegia,Hemiplegi
14686007,Hemianesthesia,Hemianesthesi
87486003,Aphasia,Afasia
20262006,Ataxia,Ataksia
399153001,Vertigo,Vertigo
24982008,Diplopia,Diplopia (Penglihatan ganda)
77674003,Hemianopia,Hemianopsia
267095009,Speech problem,Gangguan bicara
78691002,Staggering gait,Jalan sempoyongan
12184005,Visual field defect,Gangguan lapang pandang
83547004,Cold sweat,Keringat dingin
1209208002,Pale Face,Wajah pucat
79922009,Epigastric pain,Nyeri epigastrium
473434003,Pain in chin,Nyeri dagu
81680005,Neck pain,Nyeri leher
53057004,Hand pain,Nyeri tangan
161891005,Backache,Nyeri punggung
80313002,Palpitations,Palpitasi
404640003,Dizziness,Pusing
271594007,Syncope,Pingsan
386813002,Abnormal breathing,Gangguan napas
49650001,Dysuria,Nyeri saat BAK
139394000,Nocturia,Nokturia
16205300,Suprapubic pain,Nyeri suprapubik
279039007,Low back pain,Nyeri pinggang
102830001,Renal angle tenderness,Nyeri pada sudut kostovertebra
249279003,Must strain to pass urine,Mengejan saat BAK
162128006,Poor stream of urine,Pancaran urin mengecil
14302001,Amenorrhea,Haid terhenti
51885006,Morning sickness,Mual muntah pagi hari
248132003,Craving for food or drink,Ngidam
372283008,Large breast,Pembesaran Payudara
60862001,Tinnitus,Telinga mendenging
7973008,Abnormal vision,Gangguan pengelihatan
24184005,Elevated blood pressure,Kenaikan tekanan darah
50960005,Hemorrhage,Perdarahan
309737007,Abdominal pain in pregnancy,Nyeri perut pada kehamilan
271939006,Vaginal discharge,Keluar cairan dari vagina
47821001,Postpartum hemorrhage,Perdarahan setelah melahirkan
246975001,Scleral icterus,Mata kuning
225549006,Yellow skin,Kulit kuning
88746009,Black urine,Warna urine seperti teh
70396004,Acholic stool,Tinja seperti dempul
409668002,Photophobia,Fotophobia
442672001,Swelling,Pembengkakan
247508004,White nails,Kuku putih
22253000,Pain,Nyeri
3.87E+13,Abnormal urination,Gangguan BAK
300848003,Mass of body structure,Benjolan
