code,display,definition
1853451000004100,Gleason scoring system for prostatic cancer composite method,Gleason scoring system for prostatic cancer composite method (staging scale)
1853441000004100,Gleason scoring system for prostatic cancer by highest grade nodule,Gleason scoring system for prostatic cancer by highest grade nodule (staging scale)
1843201000004100,Gleason scoring system for prostatic cancer by largest nodule,Gleason scoring system for prostatic cancer by largest nodule (staging scale)
1812481000004100,International Society of Urological Pathology prostate cancer staging system,International Society of Urological Pathology prostate cancer staging system (staging scale)
1104421000000100,Alert Confusion Voice Pain Unresponsiveness scale,Alert Confusion Voice Pain Unresponsiveness scale (assessment scale)
1104061000000100,Royal College of Physicians NEWS2 (National Early Warning Score 2),Royal College of Physicians National Early Warning Score 2 (assessment scale)
905271000000101,Childhood Asthma Control Test,Childhood Asthma Control Test (assessment scale)
738521000000108,"PUFA (pulpal involvement, ulceration, fistula and abscess) index","Pulpal involvement, ulceration, fistula and abscess index (assessment scale)"
568241000005104,"TWEAK (Tolerance, Worry, Eye-opener, Amnesia, K/Cut down) questionnaire","Tolerance, Worry, Eye-opener, Amnesia, K/Cut down questionnaire (assessment scale)"
481281000000100,PCL-5 - post-traumatic stress disorder checklist for DSM-5 (Diagnostic and Statistical Manual of Mental Disorders - Fifth edition),Post-traumatic stress disorder checklist for Diagnostic and Statistical Manual of Mental Disorders - Fifth Edition (assessment scale)
459231000124102,Sequential Organ Failure Assessment,Sequential Organ Failure Assessment (assessment scale)
145021000000101,London Measure of Unplanned Pregnancy,London Measure of Unplanned Pregnancy (assessment scale)
73041000052103,EuroQoL five dimension five level questionnaire,EuroQoL five dimension five level questionnaire (assessment scale)
57671000052108,Chronic Obstructive Pulmonary Disease Assessment Test scale,Chronic Obstructive Pulmonary Disease Assessment Test scale (assessment scale)
35181000087108,Duke treadmill score angina index,Duke treadmill score angina index (assessment scale)
7121000122100,Pain Assessment in Advanced Dementia Scale,Pain Assessment in Advanced Dementia Scale (assessment scale)
3381000175105,The Ounce Scale,The Ounce Scale (assessment scale)
3371000175107,Kent Inventory of Developmental Skills,Kent Inventory of Developmental Skills (assessment scale)
3361000175104,PEDS-DM (Parent's Evaluation of Developmental Status - Developmental Milestones),Parent's Evaluation of Developmental Status - Developmental Milestones (assessment scale)
3351000175101,Parent's Evaluation of Developmental Status,Parent's Evaluation of Developmental Status (assessment scale)
3341000175103,Infant Development Inventory,Infant Development Inventory (assessment scale)
3331000175109,Child Development Inventory,Child Development Inventory (assessment scale)
3321000175106,Brigance Screens-II,Brigance Screens-II (assessment scale)
3311000175102,Battelle Developmental Inventory Screening Tool,Battelle Developmental Inventory Screening Tool (assessment scale)
3191000175106,Child-Pugh score,Child-Pugh score (assessment scale)
1296651007,Bath Ankylosing Spondylitis Functional Index,Bath Ankylosing Spondylitis Functional Index (assessment scale)
