system,code,display,definition
http://snomed.info/sct,385057009,Film-coated tablet,
http://snomed.info/sct,385120001,Impregnated dressing,
http://snomed.info/sct,385174007,Pessary,
http://snomed.info/sct,385286003,Implant,
http://snomed.info/sct,385292009,Vaginal dose form,
http://snomed.info/sct,421366001,Tablet for oral suspension,
http://snomed.info/sct,421701006,Tablet for conventional release oral solution,
http://snomed.info/sct,442015005,Intrauterine dose form,
http://snomed.info/sct,738998008,Emulsion,
http://snomed.info/sct,761877007,Effervescent tablet,
http://snomed.info/sct,763824009,Gas,
http://snomed.info/sct,764296002,Prolonged-release,
http://snomed.info/sct,764772008,Prolonged-release vaginal ring,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,AER,Aerosol,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,APPFUL,Applicatorful,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,BAINHL,Breath Activated Inhaler,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,BAINHLPWD,Breath Activated Powder Inhaler,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,BAR,Bar,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,BARSOAP,Bar Soap,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,BEAD,Beads,A solid dosage form in the shape of a small ball.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,BUCTAB,Buccal Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CAKE,Cake,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CAP,Capsule,"A solid dosage form in which the drug is enclosed within either a hard or soft soluble container or ""shell"" made from a suitable form of gelatin."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CAPLET,Caplet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CEMENT,Cement,A substance that serves to produce solid union between two surfaces.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CHEWBAR,Chewable Bar,A solid dosage form usually in the form of a rectangle that is meant to be chewed.
