code,display
129264002,Action
129265001,Evaluation - action
129266000,Measurement - action
129267009,Administrative action
129268004,Observation - action
129269007,Assisting - action
129271007,Management - action
129272000,Stimulation - action
129273005,Admission - action
129274004,Discharge - action
129275003,Administrative transfer - action (qualifier value)
129276002,Referral - action
129277006,Administrative disposition - action
129278001,Audit - action
129279009,Medicolegal action
129280007,Medicolegal testimony - action
129283009,Training - action
129284003,Surgical action
129286001,Microsurgery - action
129287005,Incision - action
129289008,Drainage - action
129291000,Drilling - action
129292007,Evacuation - action
129293002,Dissection - action
129294008,Discission - action
129295009,Slitting - action
129296005,Bisection - action
129297001,Bifurcation - action
129298006,Division - action
129299003,Release - action
129300006,Puncture - action
129301005,Scarification - action
129303008,Removal - action
129304002,Excision - action
129305001,Wedge resection - action
129306000,Surgical removal - action
129307009,Expulsion - action
129308004,Reexcision - action
129309007,Amputation - action
129310002,Transfixion - action
129311003,Evisceration - action
129312005,Enucleation - action
129313000,Trephination - action
129314006,Biopsy - action
129315007,Incisional biopsy - action
129316008,Aspiration - action
129317004,Debridement - action
129318009,Saucerization - action
129319001,Curettage - action
129321006,Trimming - action
129322004,Shaving - action
129323009,Scraping - action
129324003,Filleting - action
129325002,Introduction - action
129326001,Injection - action
129327005,Tattooing - action
129328000,Inflation - action
129330003,Infusion - action
129331004,Perfusion - action
129332006,Irrigation - action
129333001,Insufflation - action
129334007,Instillation - action
129335008,Embolization - action
129336009,Implantation - action
129337000,Reimplantation - action
129338005,Surgical implantation - action
129339002,Intubation - action
129340000,Sounding - action
129344009,Surgical recession - action
129345005,Resection-recession - action
129346006,Radial incision - action
129347002,Surgical transfer - action
129348007,Z-plasty - action
129349004,Surgical lengthening - action
129350004,Surgical shortening - action
129351000,Surgical augmentation - action
129352007,Surgical advancement - action
129353002,Suspension and fixation - action
129354008,Exteriorization - action
129355009,Marsupialization - action
129356005,Reinforcement - action
129357001,Closure - action
129358006,Layered closure - action
129360008,Oversewing - action
129366002,Closure by buckling - action
129368001,Cerclage - action
129369009,Ligation - action
129371009,Fixation - action
129372002,Cryopexy - action
129373007,Plication - action
129374001,Imbrication - action
129376004,Construction - action
129377008,Reconstruction - action
129378003,Stabilization - action
129379006,Fusion - action
129380009,Anchoring - action
129381008,Enlargement - action
129382001,Destruction - action
129383006,Avulsion - action
129384000,Decortication - action
129385004,Stripping - action
129386003,Stripping and ligation - action
129387007,Abrasion - action
129388002,Salabrasion - action
129389005,Grinding - action
129390001,Coagulation - action
129391002,Obliteration - action
129392009,Cauterization - action
129393004,Cryosurgery - action
129394005,Thermocautery - action
129395006,Fulguration - action
129396007,Electrodesiccation - action
129397003,Electrocoagulation - action
129398008,Galvanocauterization - action
129399000,Electrodestruction - action
129400007,Crushing - action
129401006,Fragmentation - action
