code,display,definition
450044741000087104,Acupuncturist,Acupuncturist (occupation)
1276571000168108,Orthotist and prosthetist,Orthotist and prosthetist (occupation)
1276561000168102,Prosthetist,Prosthetist (occupation)
1032781000168105,Kinesiology practitioner,Kinesiology practitioner (occupation)
1012901000168106,Gynecologic oncologist,Gynecologic oncologist (occupation)
611601000124100,Neonatal nurse practitioner,Neonatal nurse practitioner (occupation)
90981000221101,Endoscopist physician,Endoscopist physician (occupation)
68191000052106,Neuropsychologist,Neuropsychologist (occupation)
67811000052107,Pediatric hematology and oncology physician,Pediatric hematology and oncology physician (occupation)
50681000087109,Bariatric surgeon,Bariatric surgeon (occupation)
45201000087106,Pediatric urologist,Pediatric urologist (occupation)
45191000087109,Pediatric otorhinolaryngologist,Pediatric otorhinolaryngologist (occupation)
45181000087107,Pediatric ophthalmologist,Pediatric ophthalmologist (occupation)
26091000087104,Public health nurse practitioner,Public health nurse practitioner (occupation)
26071000087103,Primary health care nurse practitioner,Primary health care nurse practitioner (occupation)
26031000087100,Pediatric nurse practitioner,Pediatric nurse practitioner (occupation)
25941000087102,Adult gerontology primary care nurse practitioner,Adult gerontology primary care nurse practitioner (occupation)
9371000175105,Adolescent medicine specialist,Adolescent medicine specialist (occupation)
3981000175106,Nurse complex case manager,Nurse complex case manager (occupation)
1290289004,Fellow physician,Fellow physician (occupation)
1287641002,Oncologist,Oncologist (occupation)
1268923002,Obstetric nurse,Obstetric nurse (occupation)
1259964002,Oral medicine specialist,Oral medicine specialist (occupation)
1259214004,Immunohemotherapy specialist,Immunohemotherapy specialist (occupation)
1256114007,Nuclear medicine technologist,Nuclear medicine technologist (occupation)
1255719001,Neurophysiology technician,Neurophysiology technician (occupation)
1255519003,Cardiopulmonary technician,Cardiopulmonary technician (occupation)
1255518006,Organizational and social psychologist,Organizational and social psychologist (occupation)
1255517001,Intern in healthcare,Intern in healthcare (occupation)
1255515009,Pharmacogenomics pharmacist,Pharmacogenomics pharmacist (occupation)
1255514008,Regulatory affairs pharmacist,Regulatory affairs pharmacist (occupation)
1255374004,Clinical nutritionist,Clinical nutritionist (occupation)
1255373005,Specialist in traditional Chinese medicine,Specialist in traditional Chinese medicine (occupation)
1255372000,Phytotherapist,Phytotherapist (occupation)
