code,display
183932001,Procedure contraindicated
135809002,Nitrate contraindicated
135811006,Diuretic contraindicated
135822005,Lipid lowering therapy contraindicated
135823000,Calcium channel blocker contraindicated
169551000,Contraception contraindicated
170954008,HRT contraindicated
171277005,Sensitivity C/I - immunization
171284002,Pertussis vaccine contraindicated
183934000,Sensitivity C/I to procedure
183936003,Contraindication to live immunization
266757004,Medical C/I to procedure
266758009,Immunization contraindicated
275935009,Surgery contraindicated
275974002,Measles/mumps/rubella vaccine contraindicated
312451002,Aspirin prophylaxis contra-indicated
315061006,Warfarin contraindicated
315062004,Beta blocker contraindicated
315363002,Statins contraindicated
315364008,Angiotensin converting enzyme inhibitors contraindicated
315591006,Fibrates contraindicated
390795005,Pneumococcal vaccination contraindicated
390796006,Influenza vaccination contraindicated
390910005,Thrombolysis contraindicated
394987009,Angiotensin II receptor antagonists contraindicated
395174005,Nicotine replacement therapy contraindicated
395175006,Bupropion contraindicated
395675007,Oral contraceptive pill contraindicated
407582002,Clopidogrel contraindicated
413558003,Anticoagulation contraindicated
414055003,Drug dependence home detoxification contraindicated
414159007,Exercise tolerance test contraindicated
414677003,Metformin contraindicated
415571003,Spirometry reversibility testing contraindicated
415666001,Administration of sulfonylurea contraindicated (situation)
416091008,Glitazones contraindicated
416475003,Combined calcium and vitamin D3 preparation contraindicated
416704001,DXA scan contraindicated
416759002,Non-steroidal anti-inflammatory drugs contraindicated
416996000,Strontium ranelate contraindicated
417101006,Selective estrogen receptor modulator contraindicated
417128001,Bisphosphonates contraindicated
438767006,Termination of pregnancy contraindicated (situation)
438833006,Administration of drug or medicament contraindicated (situation)
698468005,Bisoprolol contraindicated (situation)
698521002,Simvastatin contraindicated
699037006,Hepatitis B vaccination contraindicated
703997000,Teriparatide contraindicated
703999002,Raloxifene contraindicated
707298000,Phosphodiesterase-5 inhibitor contraindicated (situation)
715163003,Diphtheria vaccination contraindicated (situation)
715166006,Bacillus Calmette-Guerin vaccination contraindicated (situation)
719320000,Yellow fever vaccination contraindicated (situation)
719324009,Combined hepatitis A and B vaccination contraindicated (situation)
719325005,Smallpox vaccination contraindicated (situation)
719330009,Hepatitis A vaccination contraindicated (situation)
719457005,Tick-borne encephalitis vaccination contraindicated (situation)
719458000,Japanese encephalitis vaccination contraindicated (situation)
719467000,Measles vaccination contraindicated (situation)
719469002,Cholera vaccination contraindicated (situation)
719470001,Typhoid vaccination contraindicated (situation)
719472009,Rabies vaccination contraindicated (situation)
719473004,Rubella vaccination contraindicated (situation)
719474005,Tetanus vaccination contraindicated (situation)
719476007,Poliomyelitis vaccination contraindicated (situation)
719598000,Meningitis C vaccination contraindicated (situation)
719603008,Rabies post exposure prophylaxis contraindicated (situation)
719886001,Haemophilus influenzae type b vaccination contraindicated (situation)
736004008,Nebivolol contraindicated (situation)
736006005,Carvedilol contraindicated (situation)
761844008,Human papilloma virus vaccination contraindicated
762450006,Procedure not done because contraindicated
840598000,Platelet aggregation inhibitor therapy contraindicated (situation)
1145022003,SARS-CoV-2 mRNA vaccine contraindicated
1145023008,Severe acute respiratory syndrome coronavirus 2 antigen vaccine contraindicated
1145035007,Second dose of SARS-CoV-2 mRNA vaccine contraindicated
1156265005,COVID-19 vaccine contraindicated
1157110005,2019 novel coronavirus non-replicating viral vector vaccine contraindicated
1157113007,Second dose of 2019 novel coronavirus non-replicating viral vector vaccine contraindicated
1157198004,Inactivated whole SARS-CoV-2 antigen vaccine contraindicated
1157199007,Second dose of inactivated whole COVID-19 antigen vaccine contraindicated
1162647000,COVID-19 recombinant spike protein antigen vaccine contraindicated
1162648005,Second dose of recombinant spike protein 2019 novel coronavirus antigen vaccine contraindicated
1179498004,Severe acute respiratory syndrome coronavirus 2 virus-like particle antigen vaccine contraindicated (situation)
1179499007,Second dose of virus-like particle SARS-CoV-2 antigen vaccine contraindicated
1193584006,Severe acute respiratory syndrome coronavirus 2 deoxyribonucleic acid plasmid encoding spike protein vaccine contraindicated
7611000175100,Dipyridamole contraindicated (situation)
416406003,Procedure discontinued
170624001,Oral steroids stopped
170688000,Lithium stopped
170689008,Injectable phenothiazine stopped
170919001,Warfarin therapy stopped
170958006,HRT stopped
182840001,Drug treatment stopped - medical advice
182841002,Dr stopped drugs - ineffective
182842009,Doctor stopped drugs - side effect
182843004,Dr stopped drugs -inconvenient
182844005,Doctor stopped drugs - patient dislikes
182845006,Doctor stopped drugs - avoid interaction
182846007,Doctor stopped drugs - medical aim achieved
274512008,Drug therapy discontinued
309841001,Thyroxine treatment stopped
394909009,Syringe driver discontinued
395006008,Medication stopped - interaction
395007004,Medication stopped - ineffective
395008009,Medication stopped - contra-indication
395009001,Medication stopped - side effect
412782003,Inappropriate medication stopped
425519007,Cardiopulmonary resuscitation discontinued due to medical control order (situation)
425921008,Cardiopulmonary resuscitation discontinued due to do not resuscitate order (situation)
426970003,Cardiopulmonary resuscitation discontinued due to return of spontaneous circulation (situation)
426999008,Cardiopulmonary resuscitation discontinued due to signs of death (situation)
427569000,Cardiopulmonary resuscitation discontinued as per protocol (situation)
430279008,Drug treatment stopped at end of clinical trial (situation)
438604008,Peritoneal dialysis therapy discontinued (situation)
439516000,Hemodialysis therapy discontinued (situation)
710765004,Wound drain discontinued
713246009,Procedure discontinued by healthcare professional (situation)
713247000,Procedure discontinued by patient
713248005,Procedure discontinued by doctor (situation)
866267001,Artificial respiration discontinued
70732231000132107,Duplicate drug therapy stopped
416237000,Procedure not done
162650008,Patient not examined
162675007,General examination not done
162882008,Respiratory system not examined
162980001,CVS not examined
163128002,GIT not examined
163348001,GU system not examined
163582008,Nervous system not examined
164176006,ENT examination not performed
164503006,Orthopedic exam. not done
164713001,Neurological diagnostic procedure - not done
164725003,Visual testing not done
164746007,Auditory/vestibular test not done
164766003,Special ENT procedure not done
164776000,Special CVS test not done
164786004,Special GIT test not done
164795007,Special urinary test not done
164808009,Special female test not done
164823004,Special male test not done
164831009,Musculoskeletal test not done
164853006,ECG not done
164964005,Susceptibility skin test not done
164978006,Mantoux test not done
164985005,Kveim test not done
164997006,Hypersensitivity skin test not done
165008002,Allergy testing not done
165017002,Lung function testing not done
165026004,Lung volume test not done
165035006,Respiratory flow rate not measured
165074004,Cardiac function test not done
165081006,Exercise tolerance test not done
165104002,Metabolic function not tested
165122004,Non-surgical biopsy not done
165139002,Endoscopy not carried out
165343008,Laboratory test requested - not done
165377003,Hematology test request - not done
165393007,Hemoglobin not estimated
167219008,Urine not examined
167260001,Urine glucose test not done
167272007,Urine protein test not done
167286006,Urine ketone test not done
167296002,Urine blood test not done
167306007,Urine pH test not done
167317008,Urine bacteria test not done
167322008,Urine urobilinogen not tested
167594003,Feces not examined
167701000,CSF: not examined
167728005,CSF chemistry - not tested
168497006,Radiographic imaging procedure not carried out (situation)
169607004,No antenatal care
169610006,Antenatal care: not attended
169611005,No antenatal care: not known pregnant
169699008,Antenatal syphilis screening not done
169704000,Antenatal blood group screening not done
169708002,Antenatal sickle screening not done
170100005,Child not examined at birth
170108003,Child not examined at 10 days
170117003,Child 6 week examination not attended
170126000,8-9 month exam not attended
170135007,18 month examination not attended
170144008,2.5 year examination not attended
170153001,3.5 year examination not attended (situation)
170162004,4.5 year examination not attended
170171008,10 year examination not attended (situation)
170180008,15 year examination not attended
170257006,Child 1 year examination not attended
170266005,Child 6 month examination not attended
170275007,Child 21 month examination not attended
170284007,Child 3 year exam not attended
170293008,Child 39 month examination not attended
170304008,Child 8 week examination not attended
182849000,No drug therapy prescribed
183928007,Residence remote from medical care
183929004,No home medical services
183930009,Awaiting admission elsewhere
266756008,Medical care unavailable
266881002,History not obtained
309846006,Treatment not available
310352003,Mammography not attended
314374001,360 degree sweep of cervix not performed
371900001,Medication not administered
373147003,Medication not administered because contraindicated
373148008,Thrombolytic agent not administered because contraindicated
390848004,Retinae not examined
391016008,Osteoporosis risk assessment defaulted
394965000,Urine leukocyte test not done
396781004,No chemotherapy AND/OR radiation therapy prior to lymphadenectomy
397004005,Immunophenotypic analysis not performed
397399004,Cell phenotyping not performed
399538001,Cytogenetic study not performed
401179006,No previous immunizations
401318002,Shuttle walking test not done
408504000,Child 7 month examination not attended
408836004,Sample not obtained
408837008,Amniocentesis sample not obtained
416128008,No past history of procedure
418014008,Procedure not ordered
418731009,No stain applied
428348004,Cardiopulmonary resuscitation not attempted (situation)
439867009,Determination of pattern of resistance to antiviral agent not done (situation)
441989008,Delayed hypersensitivity skin test for histoplasmin not done
443788002,Maternal postnatal examination not attended (situation)
698569004,Postnatal depression not discussed (situation)
698753008,No history of cervical smear (situation)
699231000,Domestic abuse not discussed (situation)
703942005,No history of mammogram (situation)
712751006,Radiation therapy not done
712985002,Chemotherapy not done
713207007,Neck dissection not done
715621003,Heart failure education not done (situation)
715622005,Warfarin not prescribed (situation)
719072001,Biopsy of kidney not done (situation)
719828003,Autopsy not done (situation)
722825000,Bowel preparation not done (situation)
4431000175103,Asthma medication not prescribed (situation)
4451000175106,Asthma action plan not done (situation)
4461000175108,Cervical cancer screening not done (situation)
4471000175100,Colorectal cancer screening not done (situation)
4481000175102,Diabetes mellitus screening not done (situation)
4501000175108,Hemoglobin A1C test not done (situation)
4511000175106,Lipid screening test not done
4521000175102,Measles mumps and rubella vaccination not done (situation)
4531000175104,Tobacco cessation education not done (situation)
4541000175105,Spirometry not done (situation)
4551000175107,Diabetic foot exam not done
4571000175101,Lipid lowering medication not prescribed (situation)
4581000175103,Diabetic retinal eye exam not done (situation)
4591000175100,Bone density screening not done (situation)
5991000175105,Peak expiratory flow not done (situation)
6001000175106,Systemic corticosteroid not prescribed (situation)
6011000175109,Inhaled bronchodilator not prescribed (situation)
6021000175100,"Vaccination for diphtheria, pertussis, and tetanus not done"
6031000175102,Varicella vaccination not done (situation)
6041000175108,Hepatitis A vaccination not done (situation)
6051000175105,Hepatitis B vaccination not done (situation)
11991000175106,Child not examined
21311000175107,Disease modifying antirheumatic drug not prescribed
21641000175100,Adult not examined (situation)
21661000175101,Antibiotic prophylaxis not prescribed
21691000175105,Antihypertensive therapy not prescribed (situation)
34351000175108,Human anti-D immunoglobulin not administered (situation)
36751000175103,Renin-angiotensin system antagonist not prescribed
90351000119108,Vaccination not done (situation)
428119001,Procedure not indicated (situation)
134390006,Angiotensin converting enzyme inhibitor not indicated
134391005,Statin not indicated
134392003,Warfarin not indicated
134394002,Aspirin not indicated
135805008,Nitrate not indicated
135806009,Calcium channel blocker not indicated
135807000,Lipid lowering therapy not indicated
135808005,Diuretic not indicated
183964008,Treatment not indicated
183965009,Surgery not indicated
183966005,Drug treatment not indicated
315214003,Beta blocker not indicated
407571005,Clopidogrel not indicated
407572003,Angiotensin II receptor antagonist not indicated
407573008,Influenza vaccination not indicated
408339001,Thrombolysis therapy not indicated
408396006,Diabetic retinopathy screening not indicated
408397002,Diabetic foot examination not indicated
408398007,Smoking review not indicated
413167008,Compression bandaging not indicated
413560001,Anticoagulation not indicated
413812009,Cervical smear not indicated
415119001,Pneumococcal vaccination not indicated
415570002,Spirometry not indicated
415667005,Administration of sulfonylurea not indicated (situation)
416664005,Selective estrogen receptor modulator not indicated
416670004,Glitazones not indicated
416678006,Combined calcium and vitamin D3 preparation not indicated
416741000,Strontium ranelate not indicated
417013004,DXA scan not indicated
417218000,Carotid ultrasound not indicated
