code,display,definition
1202028007,Swallowable cell collection sponge in capsule,Swallowable cell collection sponge in capsule (physical object)
1141885009,Rigid endotherapy cytology brush,Rigid endotherapy cytology brush (physical object)
1141810006,Cytology scraper,Cytology scraper (physical object)
1141762001,Flexible endotherapy cytology brush,Flexible endotherapy cytology brush (physical object)
878860002,Blood culture bottle,Blood culture bottle (physical object)
874799005,Microbial cryotube,Microbial cryotube (physical object)
767660003,Evacuated blood collection tube with sodium fluoride,Evacuated blood collection tube with sodium fluoride (physical object)
767390000,Evacuated blood collection tube with heparin lithium and gel separator,Evacuated blood collection tube with heparin lithium and gel separator (physical object)
767389009,Evacuated blood collection tube with tripotassium and ethylene diamine tetraacetic acid and aprotinin,Evacuated blood collection tube with tripotassium and ethylene diamine tetraacetic acid and aprotinin (physical object)
767387006,Evacuated blood collection tube with citrate and theophylline and adenosine and dipyramidole,Evacuated blood collection tube with citrate and theophylline and adenosine and dipyramidole (physical object)
767385003,Aerobic blood culture bottle,Aerobic blood culture bottle (physical object)
767384004,Evacuated blood collection tube with clot activator,Evacuated blood collection tube with clot activator (physical object)
767383005,Anaerobic blood culture bottle,Anaerobic blood culture bottle (physical object)
767382000,Evacuated blood collection tube with heparin sodium,Evacuated blood collection tube with heparin sodium (physical object)
738512001,Donor blood bag transport container,Donor blood bag transport container (physical object)
733713006,"Blood component separator, manual","Blood component separator, manual (physical object)"
733479001,Adhesive slide,Adhesive slide (physical object)
719915009,Off-line blood photoimmunotherapy bag,Off-line blood photoimmunotherapy bag (physical object)
718590003,Laboratory tubing welder,Laboratory tubing welder (physical object)
718302001,"Urological fluid funnel, non-sterile","Urological fluid funnel, non-sterile (physical object)"
718301008,"Urological fluid funnel, sterile","Urological fluid funnel, sterile (physical object)"
714731008,Blood component separator,Blood component separator (physical object)
713951005,"Adipose tissue stem cell recovery unit, ultrasonic","Adipose tissue stem cell recovery unit, ultrasonic (physical object)"
712485008,Autologous blood collection tube,Autologous blood collection tube (physical object)
706071000,Specimen receptacle transport container,Specimen receptacle transport container (physical object)
706067003,Blood collection/transfer device,Blood collection/transfer device (physical object)
706058003,Secretory specimen container,Secretory specimen container (physical object)
706057008,Cytology specimen container,Cytology specimen container (physical object)
706056004,Evacuated urine specimen container,Evacuated urine specimen container (physical object)
706055000,24-hour urine specimen container,24-hour urine specimen container (physical object)
706054001,Urine specimen container,Urine specimen container (physical object)
706053007,General specimen container,General specimen container (physical object)
706052002,Evacuated blood collection tube,Evacuated blood collection tube (physical object)
706051009,Non-evacuated blood collection tube,Non-evacuated blood collection tube (physical object)
706050005,Microcapillary blood collection tube,Microcapillary blood collection tube (physical object)
706049005,Blood tube,Blood tube (physical object)
706048002,Blood specimen receptacle,Blood specimen receptacle (physical object)
706047007,Fecal specimen container,Fecal specimen container (physical object)
