code,display,system
102002,Hemoglobin Okaloosa,http://snomed.info/sct
120006,Ornithine racemase,http://snomed.info/sct
125001,Ferrous sulfate Fe^59^,http://snomed.info/sct
126000,Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase,http://snomed.info/sct
130002,Hemoglobin Hopkins-II,http://snomed.info/sct
131003,Dolichyl-phosphate mannosyltransferase,http://snomed.info/sct
159002,Ferrocyanide salt,http://snomed.info/sct
164003,Phosphoenolpyruvate-protein phosphotransferase,http://snomed.info/sct
169008,Hypothalamic releasing factor preparation,http://snomed.info/sct
178002,Uridyl diphosphate galactose,http://snomed.info/sct
186002,HLA-Cw9 antigen,http://snomed.info/sct
187006,Cyanocobalamin Co^57^,http://snomed.info/sct
211009,Norethandrolone preparation,http://snomed.info/sct
217008,Blood group antigen IH,http://snomed.info/sct
231008,3-Hydroxyisobutyrate dehydrogenase,http://snomed.info/sct
238002,Heptachlor,http://snomed.info/sct
261000,Codeine phosphate,http://snomed.info/sct
296000,Coumachlor,http://snomed.info/sct
322006,Octylphenoxy P.H. ethanol,http://snomed.info/sct
327000,^76^Arsenic,http://snomed.info/sct
329002,^127^Antimony,http://snomed.info/sct
336001,Fibrinogen Tokyo II,http://snomed.info/sct
340005,Enzyme variant,http://snomed.info/sct
363000,Fibrinogen San Juan,http://snomed.info/sct
370000,beta>2S< Glycoprotein,http://snomed.info/sct
371001,Acylcarnitine hydrolase,http://snomed.info/sct
377002,Sparteine,http://snomed.info/sct
392001,^151^Gadolinium,http://snomed.info/sct
395004,Immunoglobulin pentamer,http://snomed.info/sct
412004,Ribose-5-phosphate isomerase,http://snomed.info/sct
424006,Citramalyl-CoA lyase,http://snomed.info/sct
425007,Hemoglobin Nagoya,http://snomed.info/sct
432003,Carminic acid,http://snomed.info/sct
438004,2-Hydroxyglutarate dehydrogenase,http://snomed.info/sct
439007,Therapeutic radiopharmaceuticals,http://snomed.info/sct
449005,Procaine penicillin,http://snomed.info/sct
462009,Urease (ATP-hydrolysing),http://snomed.info/sct
472007,Vegetable textile fiber,http://snomed.info/sct
476005,CD1b - Cluster of differentiation antigen 1b,http://snomed.info/sct
498001,Nitrilase,http://snomed.info/sct
501001,Blood group antibody Sf^a^,http://snomed.info/sct
505005,Blood group antibody M',http://snomed.info/sct
506006,3-Oxosteroid delta^1^-dehydrogenase,http://snomed.info/sct
515004,Blood group antigen Giaigue,http://snomed.info/sct
519005,Free protein S,http://snomed.info/sct
521000,^197^Mercury,http://snomed.info/sct
538001,"2,3-Dihydroxybenzoate 3,4-dioxygenase",http://snomed.info/sct
