code,display
275556002,A/B cover need - dentistry
267006003,A/B cover need - surg./dentist
275557006,A/B cover need - surgery
394698008,Birth history
473388009,Born at home
169818001,Born before arrival
444966004,Born before arrival of midwife
445087001,Born before arrival to hospital
407613009,Born by breech delivery
394699000,Born by cesarean section
395682006,Born by elective cesarean section
407615002,Born by emergency cesarean section
395681004,Born by forceps delivery
395683001,Born by normal vaginal delivery
407614003,Born by ventouse delivery
473389001,Born in ambulance
103011000119106,Coronary arteriosclerosis in patient with history of previous myocardial infarction
1187607009,Deserted from military service
473137000,Disability absent
1187608004,Dishonorably discharged from military service
1187605001,Exposed to combat during military service
1187612005,Failed military service training
162271007,Felt faint
709462001,Fetal exposure to alcohol
710570008,Fetal exposure to angiotensin converting enzyme inhibitor agent
789377005,Fetal exposure to anticonvulsant
711456004,Fetal exposure to drug
781699006,Fetal exposure to methamphetamine
709426002,Fetal exposure to toxin
440706004,Full renal function recovered
161542005,H/O lower GIT neoplasm
161432005,H/O Malignant melanoma
161541003,H/O upper GIT neoplasm
161513002,H/O ventricular fibrillation
161747002,H/O: 1 miscarriage
161748007,H/O: 2 miscarriages
161749004,H/O: 3 miscarriages
161750004,H/O: 4 miscarriages
161751000,H/O: 5 miscarriages
161752007,H/O: 6 miscarriages
161533003,H/O: abdominal hernia
267016006,H/O: abnormal uterine bleeding
309635005,H/O: Admission in last year for diabetes foot problem
161466001,H/O: alcoholism
390933006,H/O: amblyopia
161780009,H/O: amenorrhea
161456009,H/O: anemia - iron deficient
308066006,H/O: Angina in last year
161504004,H/O: angina pectoris
609550002,H/O: angiotensin converting enzyme inhibitor pseudoallergy
161471008,H/O: anorexia nervosa
161470009,H/O: anxiety state
161514008,H/O: aortic aneurysm
161532008,H/O: appendicitis
275554004,H/O: arthritis
161635002,H/O: asbestos exposure
161527007,H/O: asthma
312442005,H/O: atrial fibrillation
161474000,H/O: attempted suicide
161570007,H/O: back problem
267000009,H/O: biliary disease
12481000132103,H/O: biological substance allergy
161580006,H/O: birth trauma
266992002,H/O: blood disorder
275540007,H/O: brain disorder
161797003,H/O: breast problem
275528007,H/O: bronchitis
275903009,H/O: carcinoma
161573009,H/O: cardiac anomaly
161692001,H/O: cardiac pacemaker in situ
266995000,H/O: cardiovascular disease
161489009,H/O: cataract
161423008,H/O: chickenpox
161496006,H/O: chronic ear infection
161563007,H/O: chronic skin ulcer
161575002,H/O: cleft lip
161574003,H/O: cleft palate
266993007,H/O: CNS disorder
161460007,H/O: coagulation defect
266999006,H/O: colitis
161572004,H/O: congenital anomaly
161491001,H/O: corneal ulcer
314550003,H/O: deliberate self harm
161465002,H/O: dementia
161469008,H/O: depression
161445009,H/O: diabetes mellitus
413178000,H/O: diphtheria
135879003,H/O: dislocated shoulder
312850006,H/O: Disorder
275547005,H/O: duodenal ulcer
161796007,H/O: dyspareunia
161494009,H/O: ear disorder
161806007,H/O: eclampsia
161763005,H/O: ectopic pregnancy
161561009,H/O: eczema
275545002,H/O: embolism
161479005,H/O: encephalitis
266990005,H/O: endocrine disorder
161480008,H/O: epilepsy
390839009,H/O: facial injury
394705009,H/O: febrile convulsions
726625000,H/O: first degree perineal laceration
391095006,H/O: fracture
391092009,H/O: fragility fracture
267015005,H/O: full term delivery
275550008,H/O: gallbladder disease
407637009,H/O: gallstones
275548000,H/O: gastric ulcer
266997008,H/O: gastrointestinal disease
267018007,H/O: genital prolapse
161488001,H/O: glaucoma
161451004,H/O: gout
161524000,H/O: hay fever
161587009,H/O: head injury
161497002,H/O: hearing problem
275544003,H/O: heart disorder
161505003,H/O: heart failure
309634009,H/O: Heart failure in last year
391093004,H/O: hip fracture
161501007,H/O: hypertension
161442007,H/O: hyperthyroidism
161443002,H/O: hypothyroidism
161413004,H/O: infectious disease
161798008,H/O: infertility - female
161556007,H/O: infertility - male
161586000,H/O: injury
161787007,H/O: inter-menstrual bleeding
310479003,H/O: iritis
161636001,H/O: isocyanate exposure
161536006,H/O: jaundice
275552000,H/O: kidney disease
161547004,H/O: kidney infection
275555003,H/O: knee problem
161535005,H/O: liver disease
161700006,H/O: machine dependence
161554005,H/O: male genital disorder
266987004,H/O: malignant neoplasm
400998002,H/O: manic depressive disorder
161419000,H/O: measles
161478002,H/O: meningitis
161782001,H/O: menorrhagia
161779006,H/O: menstrual disorder
266991009,H/O: metabolic disorder
161481007,H/O: migraine
161744009,H/O: miscarriage
161614004,H/O: multiple allergies
161420006,H/O: mumps
267004000,H/O: musculoskeletal disease
161503005,H/O: myocardial infarct at greater than 60
161502000,H/O: myocardial infarct at less than 60
308065005,H/O: Myocardial infarction in last year
275905002,H/O: myocardial problem
275542004,H/O: Ménière's disease
413141003,H/O: needle stick injury
275904003,H/O: neoplasm
161546008,H/O: nephritis
161611007,H/O: non-drug allergy
161449003,H/O: nutritional disorder
161453001,H/O: obesity
161772002,H/O: oral contraceptive usage
161568003,H/O: osteoarthritis
275531008,H/O: pacemaker in situ
267017002,H/O: pelvic infection
266998003,H/O: peptic ulcer
161583008,H/O: perinatal convulsion
161579008,H/O: perinatal problem
161422003,H/O: pertussis
413154005,H/O: phlebitis
161525004,H/O: pneumonia
161528002,H/O: pneumothorax
161589007,H/O: poisoning
161415006,H/O: poliomyelitis
161781008,H/O: polymenorrhea
161786003,H/O: postcoital bleeding
161788002,H/O: postmenopausal bleeding
726623007,H/O: postpartum psychosis
271903000,H/O: pregnancy
161765003,H/O: premature delivery
733899004,H/O: previous baby with fetal growth restriction
275907005,H/O: procidentia
161810005,H/O: prolonged labor
161555006,H/O: prostatism
161562002,H/O: psoriasis
161464003,H/O: psychiatric disorder
161472001,H/O: psychological trauma
161512007,H/O: pulmonary embolus
161461006,H/O: purpura
161633009,H/O: radiation exposure
161450003,H/O: raised blood lipids
407586004,H/O: recreational drug use
161549001,H/O: recurrent cystitis
161656000,H/O: regular medication
390867000,H/O: repeated overdose
161701005,H/O: respirator dependence
161523006,H/O: respiratory disease
161487006,H/O: retinal detachment
161500008,H/O: rheumatic fever
161567008,H/O: rheumatoid arthritis
161632004,H/O: risk factor
161421005,H/O: rubella
161417003,H/O: scarlatina
161468000,H/O: schizophrenia
161807003,H/O: severe pre-eclampsia
267003006,H/O: sexual function problem
161775000,H/O: sheath usage
267005004,H/O: significant knee disorder
161560005,H/O: skin disorder
726597008,H/O: spontaneous onset of labor
161743003,H/O: stillbirth
161794005,H/O: stress incontinence
308067002,H/O: Stroke in last year
266996004,H/O: thromboembolism
275546001,H/O: thrombosis
275536003,H/O: thyroid disorder
308068007,H/O: Treatment for ischemic heart disease
161482000,H/O: trigeminal neuralgia
161414005,H/O: tuberculosis
275549008,H/O: ulcerative colitis
161551002,H/O: urethral stricture
161576001,H/O: urinary anomaly
267002001,H/O: urinary disease
161548009,H/O: urinary stone
726596004,H/O: uterine inversion
161509009,H/O: varicose veins
391094005,H/O: vertebral fracture
275543009,H/O: vertigo
161424002,H/O: viral illness
161490000,H/O: visual disturbance
275553005,H/O:male sex function problem
275571003,H/O:sexual problem - female
270891002,Had a collapse
228393009,Has never injected drugs
228368007,Has never misused drugs
439720003,Has never shared drug injection equipment
161638000,Hepatitis B Occupational risk
439956007,History of abnormal cervical Papanicolaou smear
313214000,History of abuse
16915500000000000,History of acalculous cholecystitis
138381000119101,History of acoustic neuroma
690711000119103,History of acquired spondylolisthesis
48811000119106,History of acromegaly
1361000119104,History of actinic keratosis
473114006,History of active tuberculosis
157533041000119000,History of acute angle closure glaucoma
16360861000119100,History of acute febrile mucocutaneous lymph node syndrome
400347211000119000,History of acute leukemia
472959005,History of acute lower respiratory tract infection
676112841000119000,History of acute lymphoid leukemia
79081000119100,History of acute myeloid leukemia
137971000119104,History of acute renal failure
16775141000119100,History of acute respiratory failure
285721000119104,History of acute ST segment elevation myocardial infarction
429047008,History of adenomatous polyp of colon
