code,display
1853451000004100,Gleason scoring system for prostatic cancer composite method (staging scale)
1853441000004100,Gleason scoring system for prostatic cancer by highest grade nodule (staging scale)
1843201000004100,Gleason scoring system for prostatic cancer by largest nodule (staging scale)
1812481000004100,International Society of Urological Pathology prostate cancer staging system (staging scale)
1104421000000100,Alert Confusion Voice Pain Unresponsiveness scale (assessment scale)
1104061000000100,Royal College of Physicians National Early Warning Score 2 (assessment scale)
905271000000101,Childhood Asthma Control Test (assessment scale)
738521000000108,"Pulpal involvement, ulceration, fistula and abscess index (assessment scale)"
568241000005104,"Tolerance, Worry, Eye-opener, Amnesia, K/Cut down questionnaire (assessment scale)"
481281000000100,Post-traumatic stress disorder checklist for Diagnostic and Statistical Manual of Mental Disorders - Fifth Edition (assessment scale)
459231000124102,Sequential Organ Failure Assessment (assessment scale)
145021000000101,London Measure of Unplanned Pregnancy (assessment scale)
73041000052103,EuroQoL five dimension five level questionnaire (assessment scale)
57671000052108,Chronic Obstructive Pulmonary Disease Assessment Test scale (assessment scale)
35181000087108,Duke treadmill score angina index (assessment scale)
7121000122100,Pain Assessment in Advanced Dementia Scale (assessment scale)
3381000175105,The Ounce Scale (assessment scale)
3371000175107,Kent Inventory of Developmental Skills (assessment scale)
3361000175104,Parent's Evaluation of Developmental Status - Developmental Milestones (assessment scale)
3351000175101,Parent's Evaluation of Developmental Status (assessment scale)
3341000175103,Infant Development Inventory (assessment scale)
3331000175109,Child Development Inventory (assessment scale)
3321000175106,Brigance Screens-II (assessment scale)
3311000175102,Battelle Developmental Inventory Screening Tool (assessment scale)
3191000175106,Child-Pugh score (assessment scale)
1296651007,Bath Ankylosing Spondylitis Functional Index (assessment scale)
1296649008,Bath Ankylosing Spondylitis Metrology Index (assessment scale)
1295479002,International Classification of Diseases 10th Revision glaucoma staging system (staging scale)
1290543005,Pediatric Canadian Triage and Acuity Scale (assessment scale)
1290510006,Modified Tardieu Scale (assessment scale)
1290318003,Hodapp Parrish Anderson glaucoma staging system (staging scale)
1290301002,International Federation of Gynecology and Obstetrics grading system for carcinoma of uterine corpus (staging scale)
1290285005,Risk Score for Transport Patients (assessment scale)
1290008003,Gijon's social-familial evaluation scale (assessment scale)
1290005000,Duke Activity Scale Index (assessment scale)
1290002002,Alberta Stroke Program Early CT score (assessment scale)
1289999007,Gugging Swallowing Screen (assessment scale)
1287958009,French-American-British classification system (tumor staging)
1287845009,Children's Oncology Group liver staging system (tumor staging)
1287844008,Children's Oncology Group renal staging system (tumor staging)
1287839001,Premature Infant Pain Profile - Revised (assessment scale)
1287838009,Premature Infant Pain Profile (assessment scale)
1287726005,DOLOPLUS-2 scale (assessment scale)
1287648008,Masaoka-Koga stage classification for thymic malignancies (tumor staging)
1287647003,Toronto Childhood Cancer Stage Guidelines Version 2 (tumor staging)
1287646007,International Germ Cell Consensus Classification (tumor staging)
1287643004,International Neuroblastoma Risk Group staging system (tumor staging)
1287387001,Killip classification (assessment scale)
1287377000,"Mechanism, Glasgow Coma Scale, Age, Pressure score (assessment scale)"
1287376009,Minnesota Living with Heart Failure Questionnaire (assessment scale)
1287375008,Nutritional Risk Screening 2002 (assessment scale)
1287374007,Portuguese Registry of Acute Coronary Syndromes risk score (assessment scale)
1287359005,Rapid Arterial Occlusion Evaluation Scale (assessment scale)
1287358002,National Early Warning Score (assessment scale)
1287357007,"Strength, Assistance walking, Rising from chair, Climbing stairs and Falls questionnaire (assessment scale)"
1287356003,Cincinnati Prehospital Stroke Scale (assessment scale)
1287355004,Neonatal Skin Risk Assessment Scale (assessment scale)
1287354000,Screening Tool for Risk on Nutritional Status and Growth (assessment scale)
1287352001,Neelon and Champagne Confusion Scale (assessment scale)
1287348001,Finnegan Neonatal Abstinence Scoring Tool (assessment scale)
1287347006,Graffar index (assessment scale)
1287346002,Control of Allergic Rhinitis and Asthma Test (assessment scale)
1287344004,Apgar score (assessment scale)
1284937005,World Health Organization grading system for urothelial carcinoma (staging scale)
1284924007,"Revised Face, Legs, Activity, Cry, Consolability scale (assessment scale)"
1284908006,Faces Pain Scale – Revised (assessment scale)
1284903002,Neonatal Pain Assessment and Sedation Scale (assessment scale)
1284900004,Neonatal Infant Pain Scale (assessment scale)
1284895003,Échelle de Douleur et d'Inconfort du Nouveau-né (assessment scale)
1284852002,Numeric Pain Rating Scale (assessment scale)
1269566009,"American Joint Commission on Cancer, Cancer Staging Manual, 9th version neoplasm staging system (tumor staging)"
1268555009,World Health Organization classification of adenocarcinoma in stomach fifth edition (staging scale)
1268554008,Lauren classification of adenocarcinoma in stomach (staging scale)
1260098002,World Health Organization and International Society of Urological Pathology grading system for renal cell carcinoma (staging scale)
1259216002,Pressure Ulcer Scale for Healing (assessment scale)
1259215003,Maelor Scale (assessment scale)
1237453009,International Dysphagia Diet Standardisation Initiative Framework (assessment scale)
1231516005,Social Anxiety Scale for Children-Revised (assessment scale)
1231515009,Social Avoidance and Distress Scale (assessment scale)
1231514008,Neuropsychiatric Inventory Questionnaire (assessment scale)
1231513002,Conners Comprehensive Behavior Rating Scales (assessment scale)
1231512007,Liebowitz Social Anxiety Scale (assessment scale)
1231511000,Personality Diagnostic Questionnaire Version 4 (assessment scale)
1231505003,International Dysphagia Diet Standardisation Initiative Functional Diet Scale (assessment scale)
1231458005,Ways of Coping Questionnaire (assessment scale)
1231454007,Hamilton Anxiety Rating Scale (assessment scale)
1231453001,Adolescent Life Change Event Scale (assessment scale)
1231452006,Standardised Assessment of Personality – Abbreviated Scale (assessment scale)
1231444008,Child Behavior Checklist (assessment scale)
1231443002,Bush-Francis Catatonia Rating Scale (assessment scale)
1231442007,Children's Loneliness Scale (assessment scale)
1231441000,Internet Addiction Test (assessment scale)
1231440004,Piers-Harris Children's Self-Concept Scale (assessment scale)
1231439001,Calgary Depression Scale for Schizophrenia (assessment scale)
1231438009,Medication Adherence Rating Scale (assessment scale)
1179529001,Edwards Personal Preference Schedule (assessment scale)
1155953005,Pulmonary Embolism Rule-out Criteria (assessment scale)
1155951007,Revised Geneva score for pulmonary embolism (assessment scale)
1149430001,World Health Organization classification of tumors histologic grading system fifth edition (staging scale)
1149429006,World Health Organization classification of tumors histologic grading system (staging scale)
1149300008,Subjective Global Nutritional Assessment for children (assessment scale)
1149295006,Malignant tumor staging (tumor staging)
1149164009,Australian Clinicopathological Staging System for colorectal cancer (tumor staging)
1149163003,Revised International Staging System for multiple myeloma (staging scale)
1149162008,International Staging System for multiple myeloma (staging scale)
1149131009,Rai staging system for chronic lymphocytic leukemia (tumor staging)
1149100002,Chronic Lymphocytic Leukemia International Prognostic Index (assessment scale)
1149099005,Binet staging classification for chronic lymphocytic leukemia (tumor staging)
1148703001,Psychotic Depression Assessment Scale (assessment scale)
1148425008,Montreal Cognitive Assessment version 7.1 (assessment scale)
1148424007,Montreal Cognitive Assessment version 7.2 (assessment scale)
1148423001,Montreal Cognitive Assessment version 8.1 (assessment scale)
1148422006,Montreal Cognitive Assessment version 7.3 (assessment scale)
1145071008,Padua Prediction Score for risk of venous thromboembolism (assessment scale)
1144796009,Verbal Rating Scale for pain intensity (assessment scale)
1144752009,5-item World Health Organization Well-being Index questionnaire (assessment scale)
1144751002,EuroQol five dimension three level questionnaire (assessment scale)
1144349004,Framingham cardiovascular disease 30 year risk score (assessment scale)
1137327001,Saint Louis University Mental Status examination (assessment scale)
1003686001,Postpartum Depression Screening Scale (assessment scale)
1003471000,Orthostatic Hypotension Questionnaire (assessment scale)
897482009,Spence Children's Anxiety Scale - Child Version (assessment scale)
897481002,Spence Children's Anxiety Scale - Parent Version (assessment scale)
897479004,Spence Children's Anxiety Scale (assessment scale)
897275008,"American Joint Commission on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)"
897202005,Gleason scoring system for malignant neoplasm of prostate (staging scale)
897117004,"Frequency, Intensity, and Burden of Side Effects Ratings scale (assessment scale)"
897114006,Simple Endoscopic Score for Crohn's Disease (assessment scale)
895537006,Mini Nutritional Assessment (assessment scale)
895536002,Scored Patient-Generated Subjective Global Assessment (assessment scale)
870188006,American Neurogastroenterology and Motility Society Gastroparesis Cardinal Symptom Index-Daily Diary (assessment scale)
870186005,"Behavior Assessment System for Children, Second Edition (assessment scale)"
