code,display
54402001,Structure of isthmus of rhombencephalon (body structure)
40867004,Structure of isthmus of thyroid gland (body structure)
47335006,Structure of isthmus tympani anticus (body structure)
7192009,Structure of isthmus tympani posticus (body structure)
83997005,Structure of jejunal artery (body structure)
68291006,Structure of jejunal lumen (body structure)
44980005,Structure of jejunal mesentery (body structure)
410733006,Structure of joint between bodies of C2 and C3 (body structure)
91811000,Structure of joint cavity (body structure)
64405002,Structure of joint of cervical vertebra other than atlas or axis (body structure)
304575007,Structure of joint of digit of hand (body structure)
361084009,Structure of joint of rib (body structure)
362912003,Structure of joint of sternum (body structure)
122477008,Structure of joint of toe (body structure)
158856008,Structure of jugular arch (body structure)
58130000,Structure of jugular lymph node (body structure)
91659002,Structure of jugular lymphatic trunk (body structure)
17912006,Structure of jugular nerve (body structure)
26493002,Structure of jugular notch of sternum (body structure)
63190004,Structure of jugular vein (body structure)
8373002,Structure of jugum of sphenoid bone (body structure)
113280004,Structure of junctional region of epiglottis with oropharynx (body structure)
23263000,Structure of junctional zone of base of tongue (body structure)
30829004,Structure of junctional zone of implantation (body structure)
17525005,Structure of juxtaductal region of aortic arch (body structure)
279609001,Structure of juxtaintestinal lymph node (body structure)
66333004,Structure of keratogenous zone of nail (body structure)
84465008,Structure of Kerckring's valve (body structure)
66436008,Structure of labial gland (body structure)
17131004,Structure of labial part of orbicularis oris muscle (body structure)
419500006,Structure of labial sulcus (body structure)
9305001,Structure of labial vein of face (body structure)
399891003,Structure of labial vein of pudendum (body structure)
86721001,Structure of labrum glenoidale (body structure)
88692004,Structure of labrum of acetabulum (body structure)
89471000,Structure of labyrinthine artery (body structure)
37684007,Structure of labyrinthine vein (body structure)
59749000,Structure of lacrimal artery (body structure)
90962005,Structure of lacrimal fold (body structure)
417266007,Structure of lacrimal gland duct (body structure)
17980005,Structure of lacrimal nerve (body structure)
5491007,Structure of lacrimal part of orbicularis oculi muscle (body structure)
54369006,Structure of lacrimal punctum (body structure)
39017002,Structure of lacrimal suture of skull (body structure)
6050005,Structure of lacrimal vein (body structure)
53969005,Structure of lacrimoconchal suture of skull (body structure)
57848008,Structure of lacrimomaxillary suture of skull (body structure)
71377008,Structure of lactating breast (body structure)
85528004,Structure of lacteal (body structure)
32169005,Structure of lactiferous sinus (body structure)
81737006,Structure of lacunar ligament (body structure)
45961002,Structure of lacus lacrimalis (body structure)
32170006,Structure of lambdoid suture of skull (body structure)
12437000,Structure of lamina basalis of ciliary body (body structure)
36044006,Structure of lamina choroidocapillaris (body structure)
30322002,Structure of lamina cribrosa of sclera (body structure)
10695007,Structure of lamina episcleralis (body structure)
66272003,Structure of lamina fusca of sclera (body structure)
28346004,Structure of lamina horizontalis of palatine bone (body structure)
28849000,Structure of lamina modioli (body structure)
48928005,Structure of lamina of cervical vertebra (body structure)
26596008,Structure of lamina of cricoid cartilage (body structure)
8387002,Structure of lamina of eighth thoracic vertebra (body structure)
11146002,Structure of lamina of eleventh thoracic vertebra (body structure)
70840002,Structure of lamina of fifth cervical vertebra (body structure)
52216009,Structure of lamina of fifth lumbar vertebra (body structure)
2205003,Structure of lamina of fifth thoracic vertebra (body structure)
24572000,Structure of lamina of first lumbar vertebra (body structure)
39759006,Structure of lamina of first thoracic vertebra (body structure)
87077004,Structure of lamina of fourth cervical vertebra (body structure)
2826007,Structure of lamina of fourth lumbar vertebra (body structure)
1527006,Structure of lamina of fourth thoracic vertebra (body structure)
30567008,Structure of lamina of lumbar vertebra (body structure)
28232001,Structure of lamina of ninth thoracic vertebra (body structure)
113216000,Structure of lamina of second lumbar vertebra (body structure)
88388003,Structure of lamina of second thoracic vertebra (body structure)
85449000,Structure of lamina of seventh cervical vertebra (body structure)
