0,0,Tentara Nasional Indonesia (TNI) Dan Kepolisian Negara Republik Indonesia (POLRI),"Golongan pokok ini mencakup semua pekerjaan yang dilakukan oleh anggota dari TNI dan POLRI. Anggota TNI dan POLRI adalah mereka yang berdinas aktif dalam salah satu unsur kesatuan TNI atau POLRI, baik atas dasar sukarela maupun wajib, dan yang tidak secara bebas menerima lapangan pekerjaan sipil serta tunduk kepada disiplin militer/kepolisian. Mencakup anggota TNI yang berdinas aktif di Markas Besar (Mabes) TNI, Kesatuan TNI Angkatan Darat (AD), TNI Angkatan Laut (AL), TNI Angkatan Udara (AU) dan POLRI serta jasa militer lainnya, seperti halnya wajib militer yang terdaftar untuk latihan militer atau tugas lainnya dalam periode tertentu. Tugas pokok TNI adalah menegakkan kedaulatan negara, mempertahankan keutuhan wilayah Negara Kesatuan Republik Indonesia yang berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, serta melindungi segenap bangsa dan seluruh tumpah darah Indonesia dari ancaman dan gangguan terhadap keutuhan bangsa dan negara. POLRI  merupakan satu  kesatuan  dalam  melaksanakan  peran  memelihara keamanan  dan  ketertiban  masyarakat, menegakkan  hukum, serta  memberikan  perlindungan,   pengayoman  dan  pelayanan kepada  masyarakat  dalam  rangka  terpeliharanya  keamanan dalam negeri. Jabatan pada golongan pokok ini diklasifikasikan menjadi beberapa subgolongan pokok sebagai berikut: 01 Perwira TNI dan POLRI 02 Bintara TNI dan POLRI 03 Tamtama TNI dan POLRI  Dikecualikan dari golongan ini adalah: - Pekerjaan yang dilakukan oleh pekerja sipil dalam institusi pemerintahan yang terkait dengan pertahanan dan  keamanan negara; - Inspektur pabean dan anggota perbatasan atau orang sipil yang dipersenjatai lainnya.  Catatan  Banyak pekerjaan yang dilakukan oleh anggota TNI dan POLRI dalam kaitan sifat dasar dari pekerjaan yang dilakukan oleh pekerja sipil seperti dokter, operator radio, koki, sekretaris dan pengemudi truk berat. Secara konseptual, mungkin lebih tepat untuk menggolongkan pekerjaan tersebut pada pekerjaan sipil sejenisnya, dan pendekatan ini telah digunakan dalam berbagai klasifikasi jabatan pada beberapa negara.  Secara khusus, penggolongan tertentu juga mengidentifikasi sejumlah kelompok pekerjaan spesifik militer. Pada beberapa negara, mungkin sulit untuk menghasilkan informasi tentang sifat dasar dari pekerjaan yang dilakukan oleh anggota angkatan bersenjata sehingga digunakan pendekatan yang paling sesuai dengan keadaan dan kebutuhan penggunanya. Untuk tujuan keterbandingan secara internasional, jika data mengenai anggota angkatan bersenjata dilaporkan dan digolongkan menurut jabatannya, maka dimasukkan ke dalam ISCO-08 golongan pokok 0 yang memungkinkan."
0,01,Perwira TNI Dan POLRI,"Perwira TNI dan POLRI memberikan kepemimpinan dan manajemen terhadap unit organisasi dalam TNI dan POLRI dan/atau melakukan tugas serupa dengan yang dilakukan pada berbagai pekerjaan sipil di luar TNI dan POLRI. Subgolongan pokok ini mencakup jabatan anggota TNI dan POLRI dengan pangkat dari letnan dua (atau yang setara) ke atas. Jabatan pada subgolongan pokok ini diklasifikasikan menjadi golongan sebagai berikut: 011  Perwira TNI dan POLRI  Dikecualikan dari subgolongan pokok ini, yaitu: - Pekerjaan yang dilakukan oleh pekerja sipil dalam institusi pemerintahan yang terkait dengan pertahanan dan keamanan negara; - Inspektur pabean dan anggota perbatasan atau orang sipil yang dipersenjatai lainnya."
0,011,Perwira TNI Dan POLRI,"Perwira TNI dan POLRI memberikan kepemimpinan dan manajemen terhadap unit organisasi dalam TNI dan POLRI dan/atau melakukan tugas serupa dengan yang dilakukan pada berbagai pekerjaan sipil di luar TNI dan POLRI. Golongan ini mencakup jabatan anggota TNI dan POLRI dengan pangkat dari letnan dua (atau yang setara) ke atas.  Jabatan pada golongan ini diklasifikasikan menjadi beberapa subgolongan sebagai berikut: 0111  Perwira Markas Besar (Mabes) TNI  0112  Perwira TNI AD 0113  Perwira TNI AL  0114  Perwira TNI AU  0115  Perwira POLRI   Dikecualikan dari golongan ini, yaitu: - Pekerjaan yang dilakukan oleh pekerja sipil dalam institusi pemerintahan yang terkait dengan pertahanan dan keamanan negara; - Inspektur pabean dan anggota perbatasan atau orang sipil yang dipersenjatai lainnya."
0,0111,Perwira Markas Besar TNI,"Perwira Mabes TNI memberikan kepemimpinan dan manajemen terhadap unit organisasi TNI pada satuan kerja tingkat Mabes TNI dan/atau melakukan tugas serupa dengan yang dilakukan pada berbagai pekerjaan sipil di luar TNI. Subgolongan ini mencakup anggota TNI dengan pangkat dari letnan dua (atau yang setara) ke atas yang berdinas aktif pada satuan kerja tingkat Mabes TNI. Subgolongan ini mencakup jabatan Panglima TNI, Kepala Staf Umum TNI (Kasum TNI), Inspektur  Jenderal  TNI (Irjen TNI), Staf Ahli Panglima TNI (Sahli Panglima TNI), Asisten  Kebijakan Stragtegis dan Perencanaan Umum Panglima TNI (Asrenum Panglima TNI), Asisten Intelijen Panglima TNI (Asintel panglima TNI), Asisten Operasi Panglima TNI (Asops Panglima TNI), Asisten Personalia Panglima TNI (Aspers Panglima TNI), AsistenLogistik Panglima TNI (Aslog Panglima TNI), Asisten Teritorial Panglima TNI (Aster Panglima TNI), Asisten Komunikasi dan Elektronika Panglima TNI (Askomlek Panglima TNI), serta Anggota Mabes TNI Berpangkat Perwira Lainnya."
0,011101,Panglima TNI,Panglima TNI adalah pimpinan TNI yang berkedudukan dan bertanggungjawab kepada Presiden sesuai dengan ketentuan dan Peraturan Perundang-undangan.  Tugasnya meliputi: a) memimpin TNI  b) melaksanakan kebijakan pertahanan negara;  c) menyelengarakan strategi militer dan melaksanakan operasi militer;  d) mengembangkan doktrin TNI;  e) menyelenggarakan penggunaan kekuatan TNI bagi kepentingan operasi militer;  f) menyelenggarakan pembinaan kekuatan TNI serta memelihara kesiagaan operasional;  g) memberikan pertimbangan kepada Menteri Pertahanan dalam hal penetapan kebijakan pertahanan negara;  h) memberikan pertimbangan kepada Menteri Pertahanan dalam hal penetapan kebijakan pemenuhan kebutuhan TNI dan komponen pertahanan lainnya;  i) memberikan pertimbangan kepada Menteri Pertahanan dalam menyusun dan melaksanakan perencanaan strategis pengelolaan sumber daya nasional untuk kepentingan pertahanan negara;  j) menggunakan komponen cadangan setelah dimobilisasi bagi kepentingan operasi militer;  k) menggunakan komponen pendukung yang telah disiapkan bagi kepentingan Operasi Militer dan melaksanakan tugas dan kewajiban lain sesuai dengan ketentuan peraturan perundang-undangan.
0,011102,Kepala Staf Umum TNI (Kasum TNI),"Kasum TNI berkedudukan di bawah dan bertanggungjawab kepada Panglima TNI.  Tugasnya meliputi: a) membantu Panglima mengkoordinasikan tugas-tugas staf dalam penggunaan kekuatan dan pembinaan TNI serta komponen kekuatan pertahanan negara lainnya yang meliputi fungsi perencanaan, intelijen, operasi, personil, logistik, komunikasi dan elektronik serta teritorial. b) melaksanakan koordinasi dengan unit terkait dalam rangka koordinasi tugas staf TNI."
0,011103,Inspektur Jenderal TNI (Irjen TNI),"Irjen TNI berkedudukan di bawah dan bertanggungjawab kepada Panglima TNI.  Tugasnya meliputi: a) Membantu Panglima TNI menyelenggarakan pengawasan dan pemeriksaan umum serta pengawasan dan pemeriksaan perbendaharaan terhadap daya guna, hasil guna, tepat guna, tertib hukum, dan tertib tindak di bidang pembinaan kesiapsiagaan penggunaan dan pembangunan kekuatan di lingkungan TNI dalam rangka mendukung tugas pokok TNI. b) melaksanakan koordinasi dengan pihak terkait dalam rangka penyelenggaraan pengawasan dan pemeriksaan umum dan perbendaharaan di lingkungan TNI."
0,011104,Staf Ahli Panglima TNI (Sahli Panglima TNI),Sahli Panglima TNI terdiri dari 10 (sepuluh) Perwira Tinggi Bintang Dua dan 13 (tiga belas) Perwira Tinggi Bintang Satu yang bertanggungjawab kepada Panglima TNI.  Tugasnya meliputi: a) Membantu memberikan saran kepada Panglima TNI sesuai dengan bidang keahliannya untuk mengolah dan menelaah secara akademis masalah nasional dan internasional yang terkait dalam rangka mendukung tugas pokok TNI. b) melaksanakan koordinasi dengan unit terkait dalam rangka pemberian saran kepada Panglima TNI.
0,011105,Asisten Kebijakan Strategis Dan Perencanaan Umum Panglima TNI (Asrenum Panglima TNI),"Asrenum berkedudukan di bawah dan bertanggung jawab kepada Panglima TNI, dalam pelaksanaan tugas sehari-hari dikoordinasikan oleh Kasum TNI. Tugasnya meliputi: a) membantu Panglima TNI merumuskan kebijakan dan perencanaan strategis pengembangan kekuatan TNI, merumuskan kebijakan sistem dan metode, sistem informasi, penelitian dan pengembangan, menyiapkan program dan anggaran pengendalian program dan anggaran, pelaksanaan anggaran serta kerjasama internasional TNI dalam rangka pembinaan  dan penggunaan kekuatan TNI dalam rangka mendukung tugas pokok TNI.  b) melaksanakan koordinasi dengan unit terkait dalam rangka pemberian saran kepada Panglima TNI. Termasuk dalam jabatan ini Wakil Asrenum Panglima TNI."
0,011106,Asisten Intelijen Panglima TNI (Asintel Panglima TNI),"Asintel Panglima TNI yang berkedudukan di bawah dan bertanggungjawab kepada Panglima TNI, dalam pelaksanaan tugas  sehari-hari dikoordinasikan oleh Kasum TNI. Tugasnya meliputi: a) membantu Panglima TNI menyelenggarakan fungsi staf di bidang intelijen meliputi penyelenggaraan kegiatan dan pembinaan intelijen pertahanan negara dalam rangka mendukung tugas pokok TNI. b) melaksanakan koordinasi dengan unit terkait dalam rangka pemberian saran kepada Panglima TNI. Termasuk dalam jabatan ini Wakil Asisten Intelijen Panglima TNI (Waasintel Panglima TNI)."
