system,code,display,definition
http://terminology.hl7.org/CodeSystem/v3-Race,1002-5,American Indian or Alaska Native,American Indian or Alaska Native
http://terminology.hl7.org/CodeSystem/v3-Race,1004-1,American Indian,American Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1006-6,Abenaki,Abenaki
http://terminology.hl7.org/CodeSystem/v3-Race,1008-2,Algonquian,Algonquian
http://terminology.hl7.org/CodeSystem/v3-Race,1010-8,Apache,Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1011-6,Chiricahua,Chiricahua
http://terminology.hl7.org/CodeSystem/v3-Race,1012-4,Fort Sill Apache,Fort Sill Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1013-2,Jicarilla Apache,Jicarilla Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1014-0,Lipan Apache,Lipan Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1015-7,Mescalero Apache,Mescalero Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1016-5,Oklahoma Apache,Oklahoma Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1017-3,Payson Apache,Payson Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1018-1,San Carlos Apache,San Carlos Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1019-9,White Mountain Apache,White Mountain Apache
http://terminology.hl7.org/CodeSystem/v3-Race,1021-5,Arapaho,Arapaho
http://terminology.hl7.org/CodeSystem/v3-Race,1022-3,Northern Arapaho,Northern Arapaho
http://terminology.hl7.org/CodeSystem/v3-Race,1023-1,Southern Arapaho,Southern Arapaho
http://terminology.hl7.org/CodeSystem/v3-Race,1024-9,Wind River Arapaho,Wind River Arapaho
http://terminology.hl7.org/CodeSystem/v3-Race,1026-4,Arikara,Arikara
http://terminology.hl7.org/CodeSystem/v3-Race,1028-0,Assiniboine,Assiniboine
http://terminology.hl7.org/CodeSystem/v3-Race,1030-6,Assiniboine Sioux,Assiniboine Sioux
http://terminology.hl7.org/CodeSystem/v3-Race,1031-4,Fort Peck Assiniboine Sioux,Fort Peck Assiniboine Sioux
http://terminology.hl7.org/CodeSystem/v3-Race,1033-0,Bannock,Bannock
http://terminology.hl7.org/CodeSystem/v3-Race,1035-5,Blackfeet,Blackfeet
http://terminology.hl7.org/CodeSystem/v3-Race,1037-1,Brotherton,Brotherton
http://terminology.hl7.org/CodeSystem/v3-Race,1039-7,Burt Lake Band,Burt Lake Band
http://terminology.hl7.org/CodeSystem/v3-Race,1041-3,Caddo,Caddo
http://terminology.hl7.org/CodeSystem/v3-Race,1042-1,Oklahoma Cado,Oklahoma Cado
http://terminology.hl7.org/CodeSystem/v3-Race,1044-7,Cahuilla,Cahuilla
http://terminology.hl7.org/CodeSystem/v3-Race,1045-4,Agua Caliente Cahuilla,Agua Caliente Cahuilla
http://terminology.hl7.org/CodeSystem/v3-Race,1046-2,Augustine,Augustine
http://terminology.hl7.org/CodeSystem/v3-Race,1047-0,Cabazon,Cabazon
http://terminology.hl7.org/CodeSystem/v3-Race,1048-8,Los Coyotes,Los Coyotes
http://terminology.hl7.org/CodeSystem/v3-Race,1049-6,Morongo,Morongo
http://terminology.hl7.org/CodeSystem/v3-Race,1050-4,Santa Rosa Cahuilla,Santa Rosa Cahuilla
http://terminology.hl7.org/CodeSystem/v3-Race,1051-2,Torres-Martinez,Torres-Martinez
http://terminology.hl7.org/CodeSystem/v3-Race,1053-8,California Tribes,California Tribes
http://terminology.hl7.org/CodeSystem/v3-Race,1054-6,Cahto,Cahto
http://terminology.hl7.org/CodeSystem/v3-Race,1055-3,Chimariko,Chimariko
http://terminology.hl7.org/CodeSystem/v3-Race,1056-1,Coast Miwok,Coast Miwok
http://terminology.hl7.org/CodeSystem/v3-Race,1057-9,Digger,Digger
http://terminology.hl7.org/CodeSystem/v3-Race,1058-7,Kawaiisu,Kawaiisu
http://terminology.hl7.org/CodeSystem/v3-Race,1059-5,Kern River,Kern River
http://terminology.hl7.org/CodeSystem/v3-Race,1060-3,Mattole,Mattole
http://terminology.hl7.org/CodeSystem/v3-Race,1061-1,Red Wood,Red Wood
http://terminology.hl7.org/CodeSystem/v3-Race,1062-9,Santa Rosa,Santa Rosa
http://terminology.hl7.org/CodeSystem/v3-Race,1063-7,Takelma,Takelma
http://terminology.hl7.org/CodeSystem/v3-Race,1064-5,Wappo,Wappo
http://terminology.hl7.org/CodeSystem/v3-Race,1065-2,Yana,Yana
http://terminology.hl7.org/CodeSystem/v3-Race,1066-0,Yuki,Yuki
http://terminology.hl7.org/CodeSystem/v3-Race,1068-6,Canadian and Latin American Indian,Canadian and Latin American Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1069-4,Canadian Indian,Canadian Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1070-2,Central American Indian,Central American Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1071-0,French American Indian,French American Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1072-8,Mexican American Indian,Mexican American Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1073-6,South American Indian,South American Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1074-4,Spanish American Indian,Spanish American Indian
http://terminology.hl7.org/CodeSystem/v3-Race,1076-9,Catawba,Catawba
http://terminology.hl7.org/CodeSystem/v3-Race,1741-8,Alatna,Alatna
