code,description
10.L/min,10 liter per minute
10.L/(min.m2),10 liter per minute per square meter
10.uN.s/(cm5.m2),10 micronewton second per centimeter to the fifth power per square meter
10*4/uL,10 thousand per microliter
10*8,100 million
24.h,24 hour
{absorbance},absorbance
{activity},activity
[AU],allergy unit
{AHF'U},American Hospital Formulary unit
A,ampere
A/m,ampere per meter
[arb'U],arbitrary unit
[arb'U]/mL,arbitrary unit per milliliter
{ARU},aspirin response unit
atm,atmosphere
ag/{cell},attogram per cell
bar,bar
Bq,Becquerel
[beth'U],Bethesda unit
10*9/L,billion per liter
10*9/uL,billion per microliter
10*9/mL,billion per milliliter
{binding_index},binding index
[bdsk'U],Bodansky unit
{breaths}/min,breaths per minute
{CAG_repeats},CAG trinucleotide repeats
cal,calorie
{cells},cells
{cells}/[HPF],cells per high power field
{cells}/uL,cells per microliter
cg,centigram
cL,centiliter
cm,centimeter
cm[Hg],centimeter of mercury
cm[H2O],centimeter of water
cm[H2O]/L/s,centimeter of water per liter per second
cm[H2O]/s/m,centimeter of water per second per meter
cm/s,centimeter per second
cP,centipoise
cSt,centistoke
{delta_OD},change in (delta) optical density
{clock_time},clock time e.g 12:30PM
[CFU],colony forming unit
[CFU]/L,colony forming unit per liter
[CFU]/mL,colony forming unit per milliliter
{CAE'U},complement activity enzyme unit
{CH100'U},complement CH100 unit
{copies},copies
{copies}/ug,copies per microgram
{copies}/mL,copies per milliliter
{count},count
{CPM},counts per minute
{CPM}/10*3{cell},counts per minute per thousand cells
cm3,cubic centimeter
[cin_i],cubic inch (international)
m3/s,cubic meter per second
{Ct_value},Cycle threshold value
d,day
d/(7.d),day per 7 day
d/wk,days per week
dB,decibel
dg,decigram
dL,deciliter
dm,decimeter
deg,degree (plane angle)
Cel,degree Celsius
[degF],degree Fahrenheit
K,degree Kelvin
K/W,degree Kelvin per Watt
deg/s,degree per second
daL/min,dekaliter per minute
daL/min/m2,dekaliter per minute per square meter
{dilution},dilution
[diop],diopter
[dr_av],dram  (US and British)
[drp],drop (1/12 milliliter)
dyn.s/cm,dyne second per centimeter
dyn.s/(cm.m2),dyne second per centimeter per square meter
{Ehrlich'U},Ehrlich unit
{Ehrlich'U}/100.g,Ehrlich unit per 100 gram
{Ehrlich'U}/(2.h),Ehrlich unit per 2 hour
{Ehrlich'U}/d,Ehrlich unit per day
{Ehrlich'U}/dL,Ehrlich unit per deciliter
{EIA_index},EIA index
{EIA_titer},EIA titer
{EIA'U},EIA unit
{EIA'U}/U,EIA unit per enzyme unit
{EV},EIA value
eV,electron Volt
{ELISA'U},ELISA unit
U,enzyme unit
U/10,enzyme unit per 10
U/10*10,enzyme unit per 10 billion
U/10*10{cells},enzyme unit per 10 billion cells
U/(10.g){feces},enzyme unit per 10 gram of feces
U/(12.h),enzyme unit per 12 hour
U/(2.h),enzyme unit per 2 hour
U/(24.h),enzyme unit per 24 hour
U/10*9,enzyme unit per billion
U/d,enzyme unit per day
U/dL,enzyme unit per deciliter
U/g,enzyme unit per gram
U/g{creat},enzyme unit per gram of creatinine
U/g{Hb},enzyme unit per gram of hemoglobin
U/g{protein},enzyme unit per gram of protein
U/h,enzyme unit per hour
U/kg{Hb},enzyme unit per kilogram of hemoglobin
U/L,enzyme unit per liter
U{25Cel}/L,enzyme unit per liter at 25 deg Celsius
U{37Cel}/L,enzyme unit per liter at 37 deg Celsius
U/mL,enzyme unit per milliliter
U/mL{RBCs},enzyme unit per milliliter of red blood cells
U/mmol{creat},enzyme unit per millimole of creatinine
U/10*6,enzyme unit per million
U/min,enzyme unit per minute
U/s,enzyme unit per second
U/10*12,enzyme unit per trillion
U/10*12{RBCs},enzyme unit per trillion red blood cells
eq,equivalent
eq/L,equivalent per liter
eq/umol,equivalent per micromole
eq/mL,equivalent per milliliter
eq/mmol,equivalent per millimole
erg,erg
F,Farad
[ft_us]/[ft_us],feet (US) per feet (US)
fg,femtogram
fL,femtoliter
fm,femtometer
fmol,femtomole
fmol/g,femtomole per gram
fmol/L,femtomole per liter
fmol/mg,femtomole per milligram
fmol/mg{cyt_prot},femtomole per milligram of cytosol protein
fmol/mg{prot},femtomole per milligram of protein
fmol/mL,femtomole per milliliter
[foz_us],fluid ounce (US)
{FIU},fluorescent intensity unit
[ft_i],foot (international)
{fraction},fraction
[Ch],French (catheter gauge)
{GAA_repeats},GAA trinucleotide repeats
[gal_us],gallon (US)
{genomes}/mL,genomes per milliliter
{Globules}/[HPF],globules (drops)  per high power field
g,gram
g.m,gram meter
g.m/{beat},gram meter per heart beat
g{creat},gram of creatinine
g{Hb},gram of hemoglobin
g{total_nit},gram of total nitrogen
g{total_prot},gram of total protein
g{wet_tissue},gram of wet tissue
g/kg/(8.h),gram per  kilogram per 8 hour
g/(100.g),gram per 100 gram
g/(12.h),gram per 12 hour
g/(24.h),gram per 24 hour
g/(3.d),gram per 3 days
g/(4.h),gram per 4 hour
g/(48.h),gram per 48 hour
g/(5.h),gram per 5 hour
g/(6.h),gram per 6 hour
g/(72.h),gram per 72 hour
g/(8.h){shift},gram per 8 hour shift
g/cm3,gram per cubic centimeter
g/d,gram per day
g/dL,gram per deciliter
g/g,gram per gram
g/g{creat},gram per gram of creatinine
g/g{globulin},gram per gram of globulin
g/g{tissue},gram per gram of tissue
g/h,gram per hour
g/h/m2,gram per hour per square meter
g/kg,gram per kilogram
g/kg/(8.h){shift},gram per kilogram per 8 hour shift
g/kg/d,gram per kilogram per day
g/kg/h,gram per kilogram per hour
g/kg/min,gram per kilogram per minute
g/L,gram per liter
g/mg,gram per milligram
g/mL,gram per milliliter
g/mmol,gram per millimole
g/min,gram per minute
g/mol{creat},gram per mole of creatinine
g/{specimen},gram per specimen
g/cm2,gram per square centimeter
g/m2,gram per square meter
g/{total_output},gram per total output
g/{total_weight},gram per total weight
Gy,Gray
{beats}/min,heart beats per minute
H,Henry
Hz,Hertz
[HPF],high power field
h,hour
h/d,hour per day
h/wk,hour per week
[APL'U]/mL,IgA anticardiolipin unit per milliliter**
[APL'U],IgA anticardiolipin unit**
{APS'U},IgA antiphosphatidylserine unit
[GPL'U]/mL,IgG anticardiolipin unit per milliliter**
[GPL'U],IgG anticardiolipin unit**
{GPS'U},IgG antiphosphatidylserine unit
[MPL'U]/mL,IgM anticardiolipin unit per milliliter**
[MPL'U],IgM anticardiolipin unit**
{MPS'U},IgM antiphosphatidylserine unit
{MPS'U}/mL,IgM antiphosphatidylserine unit per milliliter
{ImmuneComplex'U},immune complex unit
{ISR},immune status ratio
{IFA_index},immunofluorescence assay index
{IFA_titer},Immunofluorescence assay titer
[in_i],inch (international)
[in_i'H2O],inch (international) of water
[in_us],inches (US)
{index_val},index value
{index},index value
{HA_titer},influenza hemagglutination titer
{INR},international normalized ratio
[IU],international unit
[IU]/(2.h),international unit per 2 hour
[IU]/(24.h),international unit per 24 hour
[IU]/10*9{RBCs},international unit per billion red blood cells
[IU]/d,international unit per day
[IU]/dL,international unit per deciliter
[IU]/g,international unit per gram
[IU]/g{Hb},international unit per gram of hemoglobin
[IU]/h,international unit per hour
[IU]/kg,international unit per kilogram
[IU]/kg/d,international unit per kilogram per day
[IU]/L,international unit per liter
[IU]/L{37Cel},international unit per liter at 37 degrees Celsius
[IU]/mg{creat},international unit per milligram of creatinine
[IU]/mL,international unit per milliliter
[IU]/min,international unit per minute
J,joule
J/L,joule per liter
{JDF'U},Juvenile Diabetes Foundation unit
{JDF'U}/L,Juvenile Diabetes Foundation unit per liter
{KCT'U},kaolin clotting time
kat,katal
kat/kg,katal per kilogram
kat/L,katal per liter
kU,kilo enzyme unit
kU/g,kilo enzyme unit per gram
kU/L,kilo enzyme unit per liter
kU/L{class},kilo enzyme unit per liter class
kU/mL,kilo enzyme unit per milliliter
k[IU]/L,kilo international unit per liter
k[IU]/mL,kilo international unit per milliliter
kcal,kilocalorie
kcal/(24.h),kilocalorie per 24 hour
kcal/d,kilocalorie per day
kcal/h,kilocalorie per hour
kcal/kg/(24.h),kilocalorie per kilogram per 24 hour
kcal/[oz_av],kilocalorie per ounce (US & British)
kg,kilogram
kg.m/s,kilogram meter per second
kg/m3,kilogram per cubic meter
kg/h,kilogram per hour
kg/L,kilogram per liter
kg/min,kilogram per minute
kg/mol,kilogram per mole
kg/s,kilogram per second
kg/(s.m2),kilogram per second per square meter
kg/m2,kilogram per square meter
kL,kiloliter
km,kilometer
kPa,kilopascal
ks,kilosecond
[ka'U],King Armstrong unit
{KRONU'U}/mL,Kronus unit per milliliter
[knk'U],Kunkel unit
L,liter
L/(24.h),liter per 24 hour
L/(8.h),liter per 8 hour
L/d,liter per day
L/h,liter per hour
L/kg,liter per kilogram
L/L,liter per liter
L/min,liter per minute
L/min/m2,liter per minute per sqaure meter
L/(min.m2),liter per minute per square meter
L/s,liter per second
L/s/s2,liter per second per square second
{Log_copies}/mL,log (base 10) copies per milliliter
{Log_IU},log (base 10) international unit
{Log_IU}/mL,log (base 10) international unit per milliliter
{Log},log base 10
[LPF],low power field
lm,lumen
lm.m2,lumen square meter
{Lyme_index_value},Lyme index value
[mclg'U],Maclagan unit
Ms,megasecond
[MET].min/wk,metabolic equivalent minute per week
m,meter
m/s,meter per second
m/s2,meter per square second
t,metric ton
uU/g,micro enzyme unit per gram
uU/L,micro enzyme unit per liter
uU/mL,micro enzyme unit per milliliter
u[IU],micro international unit
u[IU]/mL,micro international unit per milliliter
ueq,microequivalent
ueq/L,microequivalent per liter
ueq/mL,microequivalent per milliliter
ug,microgram
ug/g{feces},microgram  per gram of feces
ug{FEU}/mL,microgram fibrinogen equivalent unit per milliliter
ug/(100.g),microgram per 100 gram
ug/(24.h),microgram per 24 hour
ug/(8.h),microgram per 8 hour
ug/m3,microgram per cubic meter
ug/d,microgram per day
ug/dL,microgram per deciliter
ug/dL{RBCs},microgram per deciliter of red blood cells
ug/g,microgram per gram
ug/g{creat},microgram per gram of creatinine
ug/g{dry_tissue},microgram per gram of dry tissue
ug/g{dry_wt},microgram per gram of dry weight
ug/g{hair},microgram per gram of hair
ug/g{Hb},microgram per gram of hemoglobin
ug/g{tissue},microgram per gram of tissue
ug/h,microgram per hour
ug/kg,microgram per kilogram
ug/kg/(8.h),microgram per kilogram per 8 hour
ug/kg/d,microgram per kilogram per day
ug/kg/h,microgram per kilogram per hour
ug/kg/min,microgram per kilogram per minute
ug/L,microgram per liter
ug/L{RBCs},microgram per liter of red blood cells
ug/L/(24.h),microgram per liter per 24 hour
ug/mg,microgram per milligram
ug/mg{creat},microgram per milligram of creatinine
ug/mL,microgram per milliliter
ug/mL{class},microgram per milliliter class
ug/mL{eqv},microgram per milliliter equivalent
ug/mmol,microgram per millimole
ug/mmol{creat},microgram per millimole of creatinine
ug/min,microgram per minute
ug/ng,microgram per nanogram
ug/{specimen},microgram per specimen
ug/[sft_i],microgram per square foot (international)
ug/m2,microgram per square meter
u[IU]/L,microinternational unit per liter
ukat,microkatal
uL,microliter
uL/(2.h),microliter per 2 hour
uL/h,microliter per hour
um,micrometer
umol,micromole
umol{BCE}/mol,micromole bone collagen equivalent per mole
umol/(2.h),micromole per 2 hour
umol/(24.h),micromole per 24 hour
umol/(8.h),micromole per 8 hour
umol/d,micromole per day
umol/dL,micromole per deciliter
umol/dL{GF},micromole per deciliter of glomerular filtrate
umol/g,micromole per gram
umol/g{creat},micromole per gram of creatinine
umol/g{Hb},micromole per gram of hemoglobin
umol/h,micromole per hour
umol/kg,micromole per kilogram
umol/kg{feces},micromole per kilogram of feces
umol/L,micromole per liter
umol/L{RBCs},micromole per liter of red blood cells
umol/L/h,micromole per liter per hour
umol/umol,micromole per micromole
umol/umol{creat},micromole per micromole of creatinine
umol/mg,micromole per milligram
umol/mg{creat},micromole per milligram of creatinine
umol/mL,micromole per milliliter
umol/mL/min,micromole per milliliter per minute
umol/mmol,micromole per millimole
umol/mmol{creat},micromole per millimole of creatinine
umol/10*6{RBC},micromole per million red blood cell
umol/min,micromole per minute
umol/min/g,micromole per minute per gram
umol/min/g{mucosa},micromole per minute per gram of mucosa
umol/min/g{prot},micromole per minute per gram of protein
umol/min/L,micromole per minute per liter
umol/mol,micromole per mole
umol/mol{creat},micromole per mole of creatinine
umol/mol{Hb},micromole per mole of hemoglobin
um/s,microns per second
uOhm,microOhm
us,microsecond
uV,microvolt
[mi_i],mile (international)
mU/g,milli  enzyme unit per gram
mU/mL,milli  enzyme unit per milliliter
mU/mL/min,milli  enzyme unit per milliliter per minute
mU/mmol{creat},milli  enzyme unit per millimole of creatinine
mU/mmol{RBCs},milli  enzyme unit per millimole of red blood cells
m[IU]/mL,milli  international unit per milliliter
mU/g{Hb},milli enzyme unit per gram of hemoglobin
mU/g{prot},milli enzyme unit per gram of protein
mU/L,milli enzyme unit per liter
mU/mg,milli enzyme unit per milligram
mU/mg{creat},milli enzyme unit per milligram of creatinine
m[IU]/L,milli international unit per liter
mA,milliampere
mbar,millibar
mbar/L/s,millibar per liter per second
mbar.s/L,millibar second per liter
meq,milliequivalent
meq/(2.h),milliequivalent per 2 hour
meq/(24.h),milliequivalent per 24 hour
meq/(8.h),milliequivalent per 8 hour
meq/d,milliequivalent per day
meq/dL,milliequivalent per deciliter
meq/g,milliequivalent per gram
meq/g{creat},milliequivalent per gram of creatinine
meq/h,milliequivalent per hour
meq/kg,milliequivalent per kilogram
meq/kg/h,milliequivalent per kilogram per hour
meq/L,milliequivalent per liter
meq/mL,milliequivalent per milliliter
