code,display
442041000124107,Paternal uncle (person)
442031000124102,Maternal uncle (person)
34431000087102,Extended criteria donor for organ transplant (person)
5181000124106,Mother-in-law (person)
5171000124108,Father-in-law (person)
5161000124101,Parent in-law (person)
471000122100,Multi-organ donor (person)
1287116005,Chaperone (person)
1286885008,Natural first cousin (person)
1285625002,Natural great grandparent (person)
1285596001,Great nephew (person)
1285595002,Great niece (person)
1285594003,Natural great niece (person)
1285593009,Natural great nephew (person)
1285592004,Natural great aunt (person)
1285591006,Natural great uncle (person)
1285432000,Natural niece (person)
1285416003,Natural uncle (person)
1285415004,Natural aunt (person)
1285414000,Second degree male blood relative (person)
1285411008,Natural nephew (person)
1269519005,Deputy (person)
1269487002,Third degree blood relative (person)
1269486006,Fourth degree blood relative (person)
1258961002,Daughter-in-law (person)
1258960001,Son-in-law (person)
1236822007,Second degree female blood relative (person)
1187334000,Emergency contact (person)
1187236000,Donor after neurological death (person)
1187235001,Donor after circulatory death (person)
1148563002,Live donor for lung transplant (person)
736456008,Maternal first cousin (person)
736455007,Paternal aunt (person)
736454006,Maternal aunt (person)
719771001,Maternal great grandfather (person)
719770000,Paternal great grandfather (person)
719769001,Maternal great grandmother (person)
719768009,Paternal great grandmother (person)
719766008,Maternal half brother (person)
719765007,Maternal half sister (person)
719764006,Paternal half sister (person)
719762005,Paternal half brother (person)
719760002,Paternal cousin (person)
719759007,Maternal cousin (person)
718723009,Live donor of kidney (person)
715167002,"Open Episcopal Church, follower of religion (person)"
713369009,Live related kidney donor (person)
713353002,Live related liver donor (person)
713352007,Skin donor (person)
713184006,Blood product donor (person)
713183000,Cadaver donor for kidney transplant (person)
713179000,Cadaver donor for corneal transplant (person)
713178008,Cadaver donor for liver transplant (person)
713177003,Cadaver donor for heart transplant (person)
713176007,Cadaver donor for lung transplant (person)
699110007,Second degree blood relative (person)
446654005,Refugee (person)
444870008,"Apostolic Pentecostalist, follower of religion (person)"
444464007,Recipient of biological material from subject (person)
444169005,House husband (person)
444168002,Homemaker (person)
444018008,Person with characteristic related to subject of record (person)
441468006,Unrelated known spermatozoa donor for artificial insemination (person)
441465009,Unknown spermatozoa donor for artificial insemination (person)
441463002,Spermatozoa donor (person)
438347000,Person categorized by affiliation with belief system (person)
433475001,"Human oocyte donor, age 35 and older (person)"
433152004,Male child (person)
431549007,Female child (person)
430882007,Human oocyte donor (person)
430792005,Stem cell donor (person)
430101000,Whole blood donor (person)
430098004,Donor for intestine transplant (person)
429790000,"Zoroastrian, follower of religion (person)"
429787006,"Jain, follower of religion (person)"
429732005,"Baha'i, follower of religion (person)"
429708003,"Unitarian, follower of religion (person)"
429644000,"Orthodox Jew, follower of religion (person)"
429577009,Patient advocate (person)
429547003,"Shinto, follower of religion (person)"
429545006,"Sanatana Dharma, follower of religion (person)"
429544005,"Russian Orthodox, follower of religion (person)"
429543004,"Taoist, follower of religion (person)"
429539003,"Calvinist, follower of religion (person)"
429534008,"Masorti Jew, follower of religion (person)"
429533002,"Mahayana Buddhist, follower of religion (person)"
429527006,"New Kadampa Tradition Buddhist, follower of religion (person)"
429511004,"Vaishnava Hindu, follower of religion (person)"
429509008,"Reform Jew, follower of religion (person)"
429379008,"Shiva Hindu, follower of religion (person)"
429171004,"Spiritualist, follower of religion (person)"
429158002,"Greek Orthodox, follower of religion (person)"
428821008,"Seventh Day Adventist, follower of religion (person)"
428820009,"Pure Land Buddhist, follower of religion (person)"
428816005,"Armenian Catholic, follower of religion (person)"
428815009,"Ahmadi, follower of religion (person)"
428801007,"Ismaili Muslim, follower of religion (person)"
428792000,Person exposed to disease (person)
428666001,"Nichiren Buddhist, follower of religion (person)"
428620006,"Smarta Hindu, follower of religion (person)"
428506007,"Druid, follower of religion (person)"
428504005,"Christian Spiritualist, follower of religion (person)"
428503004,"Orthodox Christian, follower of religion (person)"
428496003,"Tibetan Buddhist, follower of religion (person)"
428410008,"Shakti Hindu, follower of religion (person)"
428408006,"Wiccan, follower of religion (person)"
428407001,"Theravada Buddhist, follower of religion (person)"
428378008,"Ethiopian Orthodox Tewahedo, follower of religion (person)"
428376007,"Eastern Catholic, follower of religion (person)"
428373004,"Coptic Orthodox, follower of religion (person)"
428347009,"Arya Samaj Hindu, follower of religion (person)"
428315004,"Anabaptist, follower of religion (person)"
428024001,Clinical trial participant (person)
427981006,"Zen Buddhist, follower of religion (person)"
427963008,"Advaitin Hindu, follower of religion (person)"
427950002,"Haredi Jew, follower of religion (person)"
427874000,"Congregationalist, follower of religion (person)"
427755002,"Lutheran, follower of religion (person)"
427754003,"Liberal Jew, follower of religion (person)"
427729003,"Elim Pentecostalist, follower of religion (person)"
427568008,Neighbor (person)
420158005,Performer of method (person)
420058008,Provider of history other than subject (person)
419358007,Subject of record or other provider of history (person)
416800000,Inpatient (person)
416625007,Family reunion immigrant (person)
416035002,Secondary screener (person)
416034003,Primary screener (person)
414043009,Domestic partner (person)
410604004,Subject of record (person)
410603005,Person in the legal environment (person)
410602000,Preschool child (person)
410601007,Childhood age person (person)
410600008,Pre-teen (person)
410599005,Minor (person)
410598002,Person categorized by age (person)
410597007,Person categorized by religious affiliation (person)
407543004,Primary caregiver (person)
407542009,Informal caregiver (person)
394921008,Cohabitee (person)
394863008,Non-family member (person)
394862003,Great aunt (person)
394861005,Great uncle (person)
394860006,Distant relative (person)
394859001,Maternal grandmother (person)
394858009,Paternal grandmother (person)
394857004,Maternal grandfather (person)
394856008,Paternal grandfather (person)
394855007,Non-immediate family member (person)
394854006,Immediate family member (person)
394619001,Guardian (person)
394571004,Employer (person)
394568007,Extended family member (person)
394567002,Great granddaughter (person)
394566006,Great grandson (person)
394560000,Adopted son (person)
393549001,Adopted daughter (person)
393547004,Adopted child (person)
390790000,Asylum seeker (person)
373929005,Orphan child (person)
373864002,Outpatient (person)
366740002,"Sikh, follower of religion (person)"
360984002,"Hasidic Jew, follower of religion (person)"
360863008,Beggar (person)
339947000,Man (person)
314767008,Bird fancier (person)
314712007,Parachutist (person)
313416000,Fraternal twin (person)
313415001,Identical twin (person)
310543008,Graduate (person)
309886003,"Quaker, follower of religion (person)"
309885004,"Protestant, follower of religion (person)"
309884000,"Muslim, follower of religion (person)"
309687009,"Buddhist, follower of religion (person)"
309456003,Clergy (person)
303993008,Coach passenger (person)
303992003,Car passenger (person)
303991005,Trespasser (person)
303990006,Passenger of motor vehicle (person)
303989002,Crewmember on aircraft (person)
303988005,Passenger on aircraft (person)
303987000,Horse rider (person)
303986009,Occupant of aircraft (person)
303985008,Occupant of watercraft (person)
303984007,Passenger on pedal cycle (person)
303983001,Passenger of animal-drawn vehicle (person)
303981004,Driver of animal-drawn vehicle (person)
303980003,Driver of motor vehicle (person)
303977004,Occupant of railway vehicle (person)
303122009,Crewmember (person)
