code,display
218432961000119106,Family history of hereditary diffuse carcinoma of stomach (situation)
50050161000188101,Family history of congenital immunodeficiency disease (situation)
50040131000188105,Mother under medication treatment (situation)
15627891000119105,Family history of systemic lupus erythematosus (situation)
14580001000004104,Family history of allergic granulomatosis angiitis (situation)
11718821000119109,Family history of retinal detachment (situation)
10624451000119103,Family history of aneurysm of blood vessel of brain (situation)
10624401000119102,Family history of stroke due to aneurysm (situation)
1099601000119106,Family history of genetic mutation for hereditary nonpolyposis colon cancer (situation)
1098871000119109,Family history of hereditary nonpolyposis colon cancer (situation)
568071000005101,One parent or sibling has allergy (situation)
568061000005106,Both parents have allergy (situation)
329351000119105,Family history of non-glaucomatous eye disorder (situation)
288001000119103,Family member absent due to military deployment (situation)
154141000119104,Family history of malignant neoplasm of breast diagnosed before 45 years of age (situation)
154051000119101,Family history of malignant neoplasm of colon over age 50 (situation)
154031000119107,Family history of malignant neoplasm of endometrium (situation)
151181000119106,Family history of chronic respiratory disease (situation)
144171000119108,Family history of autosomal translocation (situation)
143691000119102,Family history of breast cancer gene mutation in first degree relative (situation)
143461000119107,Family history of malignant neoplasm of breast in first degree relative less than 50 years of age (situation)
143451000119105,Family history of malignant neoplasm of breast at under age 50 in second degree relative (situation)
138751000119109,Family history of Muir-Torré syndrome (situation)
138721000119101,Family history of sebaceous adenoma (situation)
138711000119108,Family history of sebaceous carcinoma (situation)
138701000119105,Family history of gene mutation (situation)
138081000119104,Family history of hematuria (situation)
134591000119102,Family history of substance abuse (situation)
130771000119102,Family history of hypercoagulable state (situation)
118651000119105,Family history of Hashimoto thyroiditis (situation)
117361000119104,Family history of sudden cardiac death (situation)
117351000119101,Family history of multiple endocrine neoplasia (situation)
109271000119105,Family history of double heterozygous familial hypercholesterolemia (situation)
109241000119103,Family history of eruptive xanthoma (situation)
109011000119108,Family history of protein C resistance (situation)
109001000119105,Family history of protein C deficiency (situation)
108981000119107,Family history of protein S deficiency (situation)
108891000119103,Family history of antithrombin III deficiency (situation)
108801000119109,Family history of blood coagulation disorder (situation)
98251000119101,Family history of spongy degeneration of central nervous system (situation)
98041000119107,Family history of osteogenesis imperfecta (situation)
98011000119108,Family history of butyrylcholinesterase deficiency (situation)
94761000119100,Family history of microcephaly (situation)
94741000119104,Family history of macrocephaly (situation)
94721000119105,Family history of craniosynostosis (situation)
94691000119101,Family history of familial dysautonomia (situation)
85951000119104,Family history of single congenital anomaly (situation)
81651000119109,Family history of heritable malignancy (situation)
74171000119103,Family history of hypoalphalipoproteinemia (situation)
74131000119101,Family history of hyperbetalipoproteinemia (situation)
71691000112100,Family history of adenomatous polyp of colon (situation)
71271000119107,Family history of retinitis pigmentosa (situation)
71261000119101,Family history of hydronephrosis (situation)
71251000119103,Family history of nonleukemic lymphatic malignancy (situation)
71241000119100,Family history of malignant hematopoietic neoplasm (situation)
71231000119109,Family history of malignant neoplasm of urethra (situation)
71221000119106,Family history of malignant neoplasm of ureter (situation)
71201000119102,Family history of hypospadias (situation)
69731000119107,Family history of short stature (situation)
65071000119106,Family history of fragile X syndrome (situation)
65031000119108,Family history of Cowden syndrome (situation)
65021000119105,Family history of neurofibromatosis (situation)
65011000119103,Family history of autosomal aneuploidy (situation)
65001000119101,Family history of connective tissue disorder (situation)
64971000119106,Family history of Von Hippel-Lindau syndrome (situation)
64921000119105,Family history of sex chromosome aneuploidy (situation)
64911000119103,Family history of cystic hygroma (situation)
64861000119107,Family history of Turner syndrome (situation)
64851000119105,Family history of Prader-Willi syndrome (situation)
64841000119108,Family history of trisomy 18 (situation)
64831000119104,Family history of trisomy 13 (situation)
64731000119106,Family history of multiple congenital anomalies (situation)
64651000119109,Family history of ambiguous genitalia (situation)
64571000119104,Family history of abdominal wall defect (situation)
64521000119100,Family history of Von Willebrand disease (situation)
64501000119109,Family history of hemoglobinopathy (situation)
64431000119101,Family history of alpha thalassemia (situation)
64391000119106,Family history of hemoglobinopathy E (situation)
64371000119105,Family history of beta thalassemia (situation)
64251000119106,Family history of glycogen storage disease (situation)
64181000119106,Family history of Marfan syndrome (situation)
64171000119108,Family history of lysosomal storage disease (situation)
64161000119102,Family history of phenylketonuria (situation)
64131000119105,Family history of methylmalonic aciduria (situation)
64121000119107,Family history of achondroplasia (situation)
64111000119100,Family history of combined hyperlipidemia (situation)
64081000119105,Family history of galactosemia (situation)
64041000119100,Family history of complex congenital heart disease (situation)
64021000119106,Family history of neurological developmental delay (situation)
63941000119102,Family history of congenital hydrocephalus (situation)
63931000119106,Family history of Steinert myotonic dystrophy (situation)
63921000119108,Family history of Rett syndrome (situation)
63901000119104,Family history of Tay-Sachs disease (situation)
63881000119101,Family history of spinocerebellar ataxia (situation)
63761000119101,Family history of autism in sibling (situation)
44241000119103,Adult child of alcoholic (situation)
31881000119108,Family history of breast cancer gene BRCA mutation (situation)
13961000119104,Family history of clubfoot (situation)
2301000119106,Family history of malignant neoplasm of ovary in first degree relative (situation)
2291000119105,Family history of malignant neoplasm of ovary in second degree relative (situation)
1421000119104,Family history of colorectal cancer (situation)
1290168002,Family history of neonatal death (situation)
1290142009,Family history of perinatal death (situation)
1269318001,Family history of congenital long QT syndrome (situation)
1264398004,Family history of localized scleroderma (situation)
1264397009,Family history of scleroderma (situation)
1264214003,Family history of lipoprotein (a) hyperlipoproteinemia (situation)
1264211006,Family history of Fredrickson type IIa hyperlipoproteinemia (situation)
1254977008,Family history of substance dependency (situation)
1254722009,Family history of disability (situation)
1254721002,Child of subject has disability (situation)
1254720001,Spouse has disability (situation)
1254719007,Sibling has disability (situation)
1254718004,Parent has disability (situation)
1237570003,Maternal history of viral hepatitis B (situation)
1149524004,Family history of neoplasm of urinary system (situation)
1149519002,Family history of neoplasm of bronchus (situation)
1149518005,Family history of neoplasm of trachea (situation)
1149514007,Family history of malignant epithelial neoplasm (situation)
1148759006,Family history of congenital microcephaly (situation)
878804008,Alcoholic parent (situation)
878803002,Alcoholic spouse (situation)
878802007,Alcoholic husband (situation)
866041003,Mother currently breastfeeding (situation)
789612004,Alcohol abuse by mother (situation)
