code,display
968287261000119000,History of ductal carcinoma in situ of bilateral breasts (situation)
934589301000119000,History of otitis externa (situation)
927778271000119000,History of langerhans cell histiocytosis (situation)
906406221000119000,History of nicotine dependence (situation)
893046241000119000,History of cytomegalovirus infection (situation)
843698041000119000,History of ductal carcinoma in situ of right breast (situation)
776219771000119000,History of myocardial infarction due to demand ischemia (situation)
703392241000119000,History of benign neoplasm of heart (situation)
676112841000119000,History of acute lymphoid leukemia (situation)
628259931000119000,History of Terson syndrome (situation)
619792361000119000,History of primary small cell carcinoma of lung (situation)
577858331000119000,History of vitreous hemorrhage (situation)
505671831000119000,History of choriocarcinoma (situation)
479405981000119000,History of ductal carcinoma in situ of left breast (situation)
445010151000119000,History of leiomyoma of stomach (situation)
434784581000119000,History of acute monocytic leukemia (situation)
400347211000119000,History of acute leukemia (situation)
387785661000119000,History of myocardial infarction due to atherothrombotic coronary artery disease (situation)
361928151000119000,History of aspergilloma (situation)
360679851000119000,History of large bowel obstruction (situation)
311030311000119000,History of small bowel obstruction (situation)
292508471000119000,History of disease caused by severe acute respiratory syndrome coronavirus 2 (situation)
281156881000119000,History of intracranial hemorrhage due to birth trauma (situation)
226823461000119000,History of neonatal nontraumatic intraventricular hemorrhage (situation)
226362151000119000,History of carcinoma in situ of skin (situation)
176798841000119000,History of multisystem inflammatory syndrome in children (situation)
157533041000119000,History of acute angle-closure glaucoma (situation)
102919151000119000,History of myelodysplastic syndrome (situation)
16916791000119100,History of rupture of Achilles tendon (situation)
16916751000119100,History of injury of tendon (situation)
16916101000119100,History of dysphagia (situation)
16916061000119100,Past pregnancy history of postpartum gestational hypertension (situation)
16915541000119100,History of acalculous cholecystitis (situation)
16915501000119100,History of infection following procedure (situation)
16915451000119100,History of stricture of esophagus (situation)
16912131000119100,History of alcoholic hepatitis (situation)
16900351000119100,History of lipoma (situation)
16896891000119100,History of cerebrovascular accident due to ischemia (situation)
16896851000119100,History of embolic cerebrovascular accident (situation)
16894981000119100,History of primary malignant neoplasm of base of tongue (situation)
16890921000119100,History of nonproliferative diabetic retinopathy (situation)
16890881000119100,History of proliferative retinopathy due to diabetes mellitus (situation)
16885661000119100,History of rectal bleeding (situation)
16881131000119100,History of Horner syndrome (situation)
16880931000119100,History of eyelid ptosis (situation)
16880891000119100,History of exudative age-related macular degeneration (situation)
16864911000119100,History of intracranial hemorrhage (situation)
16851191000119100,History of hemorrhoid (situation)
16849021000119100,History of primary malignant neoplasm of trigone of urinary bladder (situation)
16848941000119100,History of primary malignant neoplasm of neck of urinary bladder (situation)
16848901000119100,History of primary malignant neoplasm of lateral wall of urinary bladder (situation)
16848861000119100,History of primary malignant neoplasm of posterior wall of urinary bladder (situation)
16848821000119100,History of primary malignant neoplasm of urachus (situation)
16848781000119100,History of primary malignant neoplasm of dome of urinary bladder (situation)
16848741000119100,History of primary malignant neoplasm of ureteric orifice (situation)
16848701000119100,History of primary malignant neoplasm of anterior wall of urinary bladder (situation)
16848661000119100,History of primary malignant neoplasm of bilateral main bronchi (situation)
16848621000119100,History of primary malignant neoplasm of left main bronchus (situation)
16848581000119100,History of primary malignant neoplasm of main bronchus (situation)
16848541000119100,History of primary malignant neoplasm of right main bronchus (situation)
16848501000119100,History of primary malignant neoplasm of bilateral testes (situation)
16848461000119100,History of primary malignant neoplasm of right testis (situation)
16848421000119100,History of primary malignant neoplasm of left testis (situation)
16848381000119100,History of primary malignant neoplasm of bilateral ureters (situation)
16848341000119100,History of primary malignant neoplasm of left ureter (situation)
16848301000119100,History of primary malignant neoplasm of right ureter (situation)
16848261000119100,History of primary malignant neoplasm of bilateral lungs (situation)
16848221000119100,History of primary non-small cell carcinoma of bilateral lungs (situation)
16848181000119100,History of primary non-small cell carcinoma of left lung (situation)
16848141000119100,History of primary non-small cell carcinoma of right lung (situation)
16848101000119100,History of primary malignant neoplasm of right lung (situation)
16848061000119100,History of primary malignant neoplasm of left lung (situation)
16848021000119100,History of primary malignant neoplasm of bilateral kidneys (situation)
16847981000119100,History of primary malignant neoplasm of left kidney (situation)
16847941000119100,History of primary transitional cell carcinoma of left kidney (situation)
16847901000119100,History of primary transitional cell carcinoma of right kidney (situation)
16847861000119100,History of primary transitional cell carcinoma of bilateral kidneys (situation)
16847821000119100,History of primary malignant neoplasm of right kidney (situation)
16847781000119100,History of primary malignant neoplasm of right ovary (situation)
16847741000119100,History of primary malignant neoplasm of bilateral ovaries (situation)
16847701000119100,History of primary malignant neoplasm of left ovary (situation)
16845421000119100,History of cerebral aneurysm (situation)
16833281000119100,History of arterial thrombosis (situation)
16829501000119100,History of gangrenous disorder (situation)
16775641000119100,History of glaucoma suspect (situation)
16775181000119100,History of coma (situation)
16775141000119100,History of acute respiratory failure (situation)
16688121000119100,History of anal intraepithelial neoplasia III (situation)
16615741000119100,History of posterior vitreous detachment (situation)
16580571000119100,History of benign neoplasm of eye (situation)
16542721000119100,History of anoxic brain injury (situation)
16540531000119100,History of ocular zoster (situation)
16535771000119100,History of delirium (situation)
16535691000119100,History of strabismus (situation)
16535651000119100,History of injury of eye region (situation)
16535611000119100,History of retinitis pigmentosa (situation)
16535531000119100,History of nystagmus (situation)
16535441000119100,History of retinal hemorrhage (situation)
16535401000119100,History of macular degeneration (situation)
16535321000119100,History of optic atrophy (situation)
16524331000119100,History of rhabdomyolysis due to statin (situation)
16524291000119100,History of myalgia caused by statin (situation)
