code,display
56244007,10 to 19 percent of body surface
37491003,12 nm filaments
282016009,2 part fracture
78777002,20 to 29 percent of body surface
282017000,3 part fracture
12423009,30 to 39 percent of body surface
282018005,4 part fracture
36849000,40 to 49 percent of body surface
305024009,5/6 interchondral joint
76152003,50 to 59 percent of body surface
305005006,6/7 interchondral joint
91551007,60 to 69 percent of body surface
64700008,7 nm filaments
305006007,7/8 interchondral joint
75324005,70 to 79 percent of body surface
305007003,8/9 interchondral joint
19738007,80 to 89 percent of body surface
19904008,9 nm filaments
91035006,90 percent of body surface or more
51878007,A band
258343008,ABD
818983003,Abdomen
108350001,Abdomen excluding retroperitoneal region
818984009,Abdomen proper
281902004,Abdomen proper cavity
818985005,Abdomen proper segment of trunk
7832008,Abdominal aorta structure
4158003,Abdominal aortic plexus structure
818999009,Abdominal blood vessel
280938000,Abdominal cutaneous nerve
60865004,Abdominal esophagus structure
818994004,Abdominal fascia
280508003,Abdominal ganglion
1017208001,Abdominal lumbar region
245284000,Abdominal lymph node group
420429001,Abdominal para-aortic lymph node group
279637008,Abdominal part of vas deferens
263937002,Abdominal plexus
818995003,Abdominal skeletal muscle
312518009,Abdominal skin crease
280699007,Abdominal stoma
244261004,Abdominal visceral artery
280553001,Abdominal wall muscular space
818987002,Abdominopelvic cavity
818982008,Abdominopelvic cross-sectional segment
63337009,Abdominopelvic segment of trunk
80622005,Abducens nerve structure
785876002,Abduction contracture
767171001,Abduction deformity
303753001,Abductor of carpometacarpal joint of thumb
303802008,Abductor of hip joint
303769008,Abductor of metacarpophalangeal joint of finger
303765002,Abductor of metacarpophalangeal joint of thumb
303554009,Abductor of shoulder joint
303742007,Abductor of wrist joint
305042004,Abductor pollicis longus tendon sheath
181128001,Aberrant adrenal tissue
204485007,Aberrant main renal artery
69653007,Aberrant retinal artery
78810000,Aberrant retinal vein
181118005,Aberrant thyroid tissue
11889001,Abiotrophy
77126004,Abnormal caruncle
39266006,Abnormal cell
116023004,Abnormal cell structure
89615005,Abnormal cellular component of blood
125390009,Abnormal chromosomal banding
783804002,Abnormal communication
46360000,Abnormal curvature
125267001,"Abnormal curvature, compound curve"
125266005,"Abnormal curvature, left curve"
125265009,"Abnormal curvature, right curve"
76028007,Abnormal elongation
426405000,Abnormal healing of fracture
107677004,Abnormal hematopoietic cell
127565009,Abnormal macrophage
68425008,Abnormal megakaryocyte
38843008,Abnormal melanin pigmentation
27580004,Abnormal nuclear/cytoplasmic ratio
39820009,Abnormal number of nucleoli
127566005,Abnormal platelet
397019006,Abnormal red blood cell
110346001,Abnormal reticulin
399984000,Abnormal shape
45056002,Abnormal shortening
394000,Abnormal trabeculation
12222001,Abnormality of red blood cells
788144009,Abnormally long and slender growth
67946009,Abnormally long growth
21465002,Abnormally short and broad growth
11182007,Abnormally short growth
400061001,Abrasion
400168005,Abrasion and/or friction burn
46984003,Abscess cavity
44132006,Abscess morphology
116208002,Abscess of wound
418560003,Absence
110349008,Absent reticulin
63599005,Acanthocyte
43327007,Acantholysis
397188008,Acantholytic acanthoma
70266006,Acantholytic blister
726442001,Acantholytic dyskeratosis
787085004,Acantholytic epidermal nevus
278399005,Acanthomatous ameloblastoma
60940000,Acanthomatous epulis of periodontal origin
23620008,Acanthosis
8225009,Accessory atrioventricular bundle
280268004,Accessory dental nerve
69826005,Accessory gluteal muscle
20626003,Accessory head of triceps brachii muscle
416294005,Accessory lacrimal gland duct
244648009,Accessory ligament of ankle joint
244641003,Accessory ligament of knee joint
244624000,Accessory ligament of midcarpal joint
244617001,Accessory ligament of shoulder joint
278101009,Accessory meningeal artery
277944006,Accessory muscular atrioventricular bundle
15119000,Accessory nerve structure
788534000,Accessory nerve tree organ
280348007,Accessory obturator nerve
360477003,Accessory olivary nucleus
128476009,Accessory parathyroid gland structure
85383006,Accessory renal artery
129122007,Accessory thyroid
10122001,Accretion
17672001,Accumulation of fluid
8120005,Acentric chromosome
244329001,Acetabular artery
361664009,Acetabular branch of medial circumflex femoral artery
361663003,Acetabular branch of obturator artery
781077004,Achilles tendon sheath structure
18064000,Achromasia
12944000,Acid chemical burn
21109002,Acidophil adenoma
51217003,Acidophil carcinoma
1129000,Acidophilic body
79041005,Acinar cell adenoma
45410002,Acinar cell carcinoma
128703004,Acinar cell cystadenocarcinoma
733855008,Acinar cell cystadenoma
115219005,Acinar cell neoplasm
818947007,Acinar cell tumor of uncertain behavior
85602009,Acinar development of breast
46926004,Acinus of parotid gland
410726006,Acoustic radiations structure
361514006,Acousticofacial ganglion
12535006,Acquired absence
129216006,Acquired arteriovenous aneurysm
129214009,Acquired arteriovenous fistula
733927008,Acquired arteriovenous malformation
280115004,Acquired body structure
213921006,Acquired dysplasia
51711001,Acquired fistula
609527008,Acquired heterotopic structure
176639008,Acquired stenosis
39967007,Acquired web
16974005,"Acral lentiginous melanoma, malignant"
816213009,Acral nevus
85856004,Acromioclavicular joint structure
312743001,Acromioclavicular joint synovium
75801009,Acrosomal granule
52568003,Acrosomal vesicle
856006,Actinic keratosis
84247007,Actinotherapy effect
708578007,Active caries
769118008,Active cavitated caries
82479004,Active congestion
769119000,Active non-cavitated caries
272743000,Acupuncture point
116034001,Acute abscess
75889009,Acute and chronic inflammation
55903007,Acute atrophy
69077002,Acute basophilic leukemia
128818009,Acute biphenotypic leukemia
45771005,Acute bleeding ulcer
717857009,Acute cellulitis
125119000,Acute collapse
103617007,Acute congestion
5314004,Acute dilatation
40829002,Acute edema
125294002,Acute emphysema
789678006,Acute emphysematous inflammation
19365003,Acute empyema
1162993004,Acute eosinophilic leukemia
62312006,Acute exudative inflammation
396217007,Acute fibrinopurulent inflammation
396218002,Acute fibrinous inflammation
21103001,Acute fibrosis
