code,display,definition
16235301000119101,Specimen from sentinel lymph node of breast,Specimen from sentinel lymph node of breast (specimen)
16224371000119105,Nasal lavage fluid specimen,Nasal lavage fluid specimen (specimen)
16224291000119101,Renal washings,Renal washings (specimen)
16224251000119106,Papanicolaou smear specimen,Papanicolaou smear specimen (specimen)
16224171000119108,Nasotracheal aspirate,Nasotracheal aspirate (specimen)
16224131000119105,Specimen from mediastinal lymph node obtained by endotracheal aspiration biopsy,Specimen from mediastinal lymph node obtained by endotracheal aspiration biopsy (specimen)
16224091000119108,Specimen from lymph node obtained by endotracheal aspiration biopsy,Specimen from lymph node obtained by endotracheal aspiration biopsy (specimen)
16223971000119109,Synovial fluid specimen obtained by fine needle aspiration procedure,Synovial fluid specimen obtained by fine needle aspiration procedure (specimen)
16223931000119106,Vitreous humour specimen obtained by fine needle aspiration procedure,Vitreous humor specimen obtained by fine needle aspiration procedure (specimen)
16223771000119107,Specimen from diaphragm obtained by brushing,Specimen from diaphragm obtained by brushing (specimen)
16223731000119109,Specimen from perianal region obtained by biopsy,Specimen from perianal region obtained by biopsy (specimen)
16223651000119107,Specimen from ligated fallopian tube,Specimen from ligated fallopian tube (specimen)
16223571000119102,Purged stool specimen,Purged stool specimen (specimen)
16223531000119100,Liquid stool specimen,Liquid stool specimen (specimen)
16223491000119100,Tissue specimen obtained by transtracheal biopsy,Tissue specimen obtained by transtracheal biopsy (specimen)
16223251000119109,Peripherally inserted central venous catheter tip submitted as specimen,Peripherally inserted central venous catheter tip submitted as specimen (specimen)
16223091000119106,Specimen of mucosa of nasal sinus obtained by biopsy,Specimen of mucosa of nasal sinus obtained by biopsy (specimen)
16223051000119101,Nasal sinus contents specimen,Nasal sinus contents specimen (specimen)
16222971000119102,Specimen from parotid gland obtained by biopsy,Specimen from parotid gland obtained by biopsy (specimen)
16222771000119104,Uvula tissue specimen obtained by simple excision,Uvula tissue specimen obtained by simple excision (specimen)
16222611000119100,Specimen from prostate obtained by subtotal prostatectomy,Specimen from prostate obtained by subtotal prostatectomy (specimen)
16222251000119102,"Specimen from skin obtained by Mohs surgery, permanent section","Specimen from skin obtained by Mohs surgery, permanent section (specimen)"
16222091000119100,"Skin specimen obtained by excision, frozen section","Skin specimen obtained by excision, frozen section (specimen)"
16221891000119102,Specimen from soft tissue mass lesion obtained by fine needle aspiration,Specimen from soft tissue mass lesion obtained by fine needle aspiration (specimen)
16221811000119106,Specimen obtained by bronchoscopy,Specimen obtained by bronchoscopy (specimen)
16221491000119104,Voided urine specimen,Voided urine specimen (specimen)
16221371000119107,Urine specimen obtained from paediatric urine collection bag,Urine specimen obtained from pediatric urine collection bag (specimen)
16221251000119108,Urine specimen obtained via straight catheter,Urine specimen obtained via straight catheter (specimen)
16221011000119101,Vaginal discharge specimen,Vaginal discharge specimen (specimen)
16220971000119101,Specimen of fluid from cyst of kidney,Specimen of fluid from cyst of kidney (specimen)
16220931000119104,Pancreas cyst fluid specimen,Pancreas cyst fluid specimen (specimen)
16220041000119107,Tunneled catheter tip submitted as specimen,Tunneled catheter tip submitted as specimen (specimen)
16219801000119102,Pinworm paddle submitted as specimen,Pinworm paddle submitted as specimen (specimen)
16216611000119108,Aortic valve specimen obtained by lavage,Aortic valve specimen obtained by lavage (specimen)
16216571000119104,Oesophageal specimen obtained by lavage,Esophageal specimen obtained by lavage (specimen)
16216531000119102,Common bile duct specimen obtained by lavage,Common bile duct specimen obtained by lavage (specimen)
16216491000119102,Urinary bladder specimen obtained by lavage,Urinary bladder specimen obtained by lavage (specimen)
16216451000119107,Colonic specimen obtained by lavage,Colonic specimen obtained by lavage (specimen)
16216411000119106,Conjunctival smear specimen,Conjunctival smear specimen (specimen)
16216371000119105,Anal smear specimen,Anal smear specimen (specimen)
16216331000119107,Cerebrospinal fluid smear specimen,Cerebrospinal fluid smear specimen (specimen)
16216291000119101,Labia smear specimen,Labia smear specimen (specimen)
16216251000119106,Specimen from lung obtained by aspiration,Specimen from lung obtained by aspiration (specimen)
16216211000119105,Endocervical aspirate,Endocervical aspirate (specimen)
16216171000119108,Specimen from liver obtained by aspiration,Specimen from liver obtained by aspiration (specimen)
16216131000119105,Specimen obtained from pouch of Douglas by aspiration,Specimen obtained from pouch of Douglas by aspiration (specimen)
16216091000119108,Duodenal brushings specimen,Duodenal brushings specimen (specimen)
16216051000119103,Specimen from branchial cleft cyst obtained by fine needle aspiration,Specimen from branchial cleft cyst obtained by fine needle aspiration (specimen)
16216011000119104,Hilum of lung specimen obtained by fine needle aspiration procedure,Hilum of lung specimen obtained by fine needle aspiration procedure (specimen)
16215931000119102,Specimen from cyst obtained by fine needle aspiration,Specimen from cyst obtained by fine needle aspiration (specimen)
16215851000119100,Specimen from brain obtained by fine needle aspiration,Specimen from brain obtained by fine needle aspiration (specimen)
16215811000119101,Specimen from groin obtained by fine needle aspiration,Specimen from groin obtained by fine needle aspiration (specimen)
16215771000119101,Specimen from inguinal lymph node obtained by fine needle aspiration biopsy,Specimen from inguinal lymph node obtained by fine needle aspiration biopsy (specimen)
16215731000119104,Endocardium biopsy specimen,Endocardium biopsy specimen (specimen)
16215691000119106,Specimen from right upper lobe of lung obtained by bronchial aspiration procedure,Specimen from right upper lobe of lung obtained by bronchial aspiration procedure (specimen)
16215651000119101,Specimen from left lower lobe of lung obtained by bronchial aspiration procedure,Specimen from left lower lobe of lung obtained by bronchial aspiration procedure (specimen)
16215611000119102,Specimen from right lower lobe of lung obtained by bronchial aspiration procedure,Specimen from right lower lobe of lung obtained by bronchial aspiration procedure (specimen)
16215571000119106,Specimen from right middle lobe of lung obtained by bronchial aspiration procedure,Specimen from right middle lobe of lung obtained by bronchial aspiration procedure (specimen)
16215531000119108,Specimen from left upper lobe of lung obtained by bronchial aspiration procedure,Specimen from left upper lobe of lung obtained by bronchial aspiration procedure (specimen)
16215491000119108,Specimen from breast duct obtained by excision,Specimen from breast duct obtained by excision (specimen)
16215451000119103,Specimen from right middle lobe of lung obtained by bronchial washing procedure,Specimen from right middle lobe of lung obtained by bronchial washing procedure (specimen)
16215411000119104,Specimen from left lower lobe of lung obtained by bronchial washing procedure,Specimen from left lower lobe of lung obtained by bronchial washing procedure (specimen)
16215331000119103,Specimen from left upper lobe of lung obtained by bronchial washing procedure,Specimen from left upper lobe of lung obtained by bronchial washing procedure (specimen)
16215291000119109,Specimen from right lower lobe of lung obtained by bronchial washing procedure,Specimen from right lower lobe of lung obtained by bronchial washing procedure (specimen)
16215251000119104,Specimen from right upper lobe of lung obtained by bronchial washing procedure,Specimen from right upper lobe of lung obtained by bronchial washing procedure (specimen)
16215211000119100,Bartholin's gland fluid specimen,Bartholin gland fluid specimen (specimen)
16215171000119102,Specimen from abscess of Bartholin's gland,Specimen from abscess of Bartholin gland (specimen)
16215131000119100,Endocervical smear specimen,Endocervical smear specimen (specimen)
16215091000119102,Specimen from bronchus obtained by endobronchial biopsy,Specimen from bronchus obtained by endobronchial biopsy (specimen)
16215051000119107,Specimen from labia obtained by biopsy,Specimen from labia obtained by biopsy (specimen)
16214971000119103,Specimen obtained from breast by stereotactically guided needle biopsy,Specimen obtained from breast by stereotactically guided needle biopsy (specimen)
16214691000119105,Specimen obtained from breast by ultrasound guided needle biopsy,Specimen obtained from breast by ultrasound guided needle biopsy (specimen)
16214651000119100,Specimen from lingula obtained by endobronchial biopsy,Specimen from lingula obtained by endobronchial biopsy (specimen)
16214611000119101,Specimen from right lower lobe of lung obtained by endobronchial biopsy,Specimen from right lower lobe of lung obtained by endobronchial biopsy (specimen)
16214571000119105,Specimen from left lower lobe of lung obtained by endobronchial biopsy,Specimen from left lower lobe of lung obtained by endobronchial biopsy (specimen)
16214531000119107,Specimen from right middle lobe of lung obtained by endobronchial biopsy,Specimen from right middle lobe of lung obtained by endobronchial biopsy (specimen)
16214491000119107,Specimen from right lung obtained by fine needle aspiration procedure,Specimen from right lung obtained by fine needle aspiration procedure (specimen)
16214451000119102,Specimen from left lung obtained by fine needle aspiration procedure,Specimen from left lung obtained by fine needle aspiration procedure (specimen)
