code,display,definition
home,Home,The patient was dicharged and has indicated that they are going to return home afterwards.
alt-home,Alternative home,"The patient was discharged and has indicated that they are going to return home afterwards, but not the patient's home - e.g. a family member's home."
other-hcf,Other healthcare facility,The patient was transferred to another healthcare facility.
hosp,Hospice,The patient has been discharged into palliative care.
long,Long-term care,The patient has been discharged into long-term care where is likely to be monitored through an ongoing episode-of-care.
aadvice,Left against advice,The patient self discharged against medical advice.
exp,Expired,The patient has deceased during this encounter.
psy,Psychiatric hospital,The patient has been transferred to a psychiatric facility.
rehab,Rehabilitation,The patient was discharged and is to receive post acute care rehabilitation services.
snf,Skilled nursing facility,The patient has been discharged to a skilled nursing facility for the patient to receive additional care.
oth,Other,The discharge disposition has not otherwise defined.
