kode,kategori,nama
11,Provinsi,Aceh
1101,Kota Kabupaten,Kab. Aceh Selatan
110101,Kecamatan,Bakongan
1101012001,Kelurahan,Keude Bakongan
1101012002,Kelurahan,Ujong Mangki
1101012003,Kelurahan,Ujong Padang
1101012004,Kelurahan,Gampong Drien
1101012015,Kelurahan,Darul Ikhsan
1101012016,Kelurahan,Padang Beurahan
1101012017,Kelurahan,Gampong Baro
110102,Kecamatan,Kluet Utara
1101022001,Kelurahan,Fajar Harapan
1101022002,Kelurahan,Krueng Batee
1101022003,Kelurahan,Pasi Kuala Asahan
1101022004,Kelurahan,Gunung Pulo
1101022005,Kelurahan,Pulo Ie I
1101022006,Kelurahan,Jambo Manyang
1101022007,Kelurahan,Simpang Empat
1101022008,Kelurahan,Limau Purut
1101022009,Kelurahan,Pulo Kambing
1101022010,Kelurahan,Kampung Paya
1101022011,Kelurahan,Krueng Batu
1101022012,Kelurahan,Krueng Kluet
1101022013,Kelurahan,Alur Mas
1101022014,Kelurahan,Kampung Tinggi
1101022015,Kelurahan,Ruak
1101022016,Kelurahan,Simpang Lhee
1101022017,Kelurahan,Suaq Geuringgeng
1101022018,Kelurahan,Pasi Kuala Ba'u
1101022019,Kelurahan,Kedai Padang
1101022020,Kelurahan,Kotafajar
1101022021,Kelurahan,Gunung Pudung
110103,Kecamatan,Kluet Selatan
1101032001,Kelurahan,Suaq Bakung
1101032002,Kelurahan,Rantau Binuang
1101032003,Kelurahan,Barat Daya
1101032004,Kelurahan,Sialang
1101032005,Kelurahan,Kapeh
1101032006,Kelurahan,Pulo Ie
1101032007,Kelurahan,Kedai Runding
1101032008,Kelurahan,Kedai Kandang
1101032009,Kelurahan,Gampong Luar
1101032010,Kelurahan,Ujung
1101032011,Kelurahan,Jua
1101032012,Kelurahan,Pasi Meurapat
1101032013,Kelurahan,Ujung Pasir
1101032014,Kelurahan,Geulumbuk
1101032015,Kelurahan,Pasie Lembang
1101032016,Kelurahan,Ujung Padang
1101032017,Kelurahan,Indra Damai
110104,Kecamatan,Labuhan Haji
1101042001,Kelurahan,Bakau Hulu
1101042002,Kelurahan,Padang Bakau
1101042003,Kelurahan,Manggis Harapan
1101042004,Kelurahan,Pasar Lama
1101042005,Kelurahan,Apha
1101042006,Kelurahan,Ujung Batu
1101042007,Kelurahan,Pawoh
1101042008,Kelurahan,Dalam
1101042009,Kelurahan,Kota Palak
1101042010,Kelurahan,Cacang
1101042011,Kelurahan,Tengah Pisang
1101042012,Kelurahan,Pisang
1101042013,Kelurahan,Hulu Pisang
1101042014,Kelurahan,Tengah Baru
1101042015,Kelurahan,Lembah Baru
1101042016,Kelurahan,Padang Baru
110105,Kecamatan,Meukek
1101052001,Kelurahan,Kuta Buloh II
1101052002,Kelurahan,Kuta Buloh I
1101052003,Kelurahan,Ie Dingen
1101052004,Kelurahan,Drien Jalo
1101052005,Kelurahan,Jambo Papeun
1101052006,Kelurahan,Buket Meuh
1101052007,Kelurahan,Blang Kuala
1101052008,Kelurahan,Rot Teungoh
1101052009,Kelurahan,Alue Baro
1101052010,Kelurahan,Ladang Tuha
