,Kategori Wilayah,Kode Wilayah,Nama Wilayah
0,Kelurahan,1101012001,Keude Bakongan
1,Kelurahan,1101012002,Ujong Mangki
2,Kelurahan,1101012003,Ujong Padang
3,Kelurahan,1101012004,Gampong Drien
4,Kelurahan,1101012015,Darul Ikhsan
5,Kelurahan,1101012016,Padang Beurahan
6,Kelurahan,1101012017,Gampong Baro
7,Kelurahan,1101022001,Fajar Harapan
8,Kelurahan,1101022002,Krueng Batee
9,Kelurahan,1101022003,Pasi Kuala Asahan
10,Kelurahan,1101022004,Gunung Pulo
11,Kelurahan,1101022005,Pulo Ie I
12,Kelurahan,1101022006,Jambo Manyang
13,Kelurahan,1101022007,Simpang Empat
14,Kelurahan,1101022008,Limau Purut
15,Kelurahan,1101022009,Pulo Kambing
16,Kelurahan,1101022010,Kampung Paya
17,Kelurahan,1101022011,Krueng Batu
18,Kelurahan,1101022012,Krueng Kluet
19,Kelurahan,1101022013,Alur Mas
20,Kelurahan,1101022014,Kampung Tinggi
21,Kelurahan,1101022015,Ruak
22,Kelurahan,1101022016,Simpang Lhee
23,Kelurahan,1101022017,Suaq Geuringgeng
24,Kelurahan,1101022018,Pasi Kuala Ba'u
25,Kelurahan,1101022019,Kedai Padang
26,Kelurahan,1101022020,Kotafajar
27,Kelurahan,1101022021,Gunung Pudung
28,Kelurahan,1101032001,Suaq Bakung
29,Kelurahan,1101032002,Rantau Binuang
30,Kelurahan,1101032003,Barat Daya
31,Kelurahan,1101032004,Sialang
32,Kelurahan,1101032005,Kapeh
33,Kelurahan,1101032006,Pulo Ie
34,Kelurahan,1101032007,Kedai Runding
35,Kelurahan,1101032008,Kedai Kandang
36,Kelurahan,1101032009,Gampong Luar
37,Kelurahan,1101032010,Ujung
38,Kelurahan,1101032011,Jua
39,Kelurahan,1101032012,Pasi Meurapat
40,Kelurahan,1101032013,Ujung Pasir
41,Kelurahan,1101032014,Geulumbuk
42,Kelurahan,1101032015,Pasie Lembang
43,Kelurahan,1101032016,Ujung Padang
44,Kelurahan,1101032017,Indra Damai
45,Kelurahan,1101042001,Bakau Hulu
46,Kelurahan,1101042002,Padang Bakau
47,Kelurahan,1101042003,Manggis Harapan
48,Kelurahan,1101042004,Pasar Lama
49,Kelurahan,1101042005,Apha
50,Kelurahan,1101042006,Ujung Batu
51,Kelurahan,1101042007,Pawoh
52,Kelurahan,1101042008,Dalam
53,Kelurahan,1101042009,Kota Palak
54,Kelurahan,1101042010,Cacang
55,Kelurahan,1101042011,Tengah Pisang
56,Kelurahan,1101042012,Pisang
57,Kelurahan,1101042013,Hulu Pisang
58,Kelurahan,1101042014,Tengah Baru
59,Kelurahan,1101042015,Lembah Baru
60,Kelurahan,1101042016,Padang Baru
61,Kelurahan,1101052001,Kuta Buloh II
62,Kelurahan,1101052002,Kuta Buloh I
63,Kelurahan,1101052003,Ie Dingen
64,Kelurahan,1101052004,Drien Jalo
65,Kelurahan,1101052005,Jambo Papeun
66,Kelurahan,1101052006,Buket Meuh
67,Kelurahan,1101052007,Blang Kuala
68,Kelurahan,1101052008,Rot Teungoh
69,Kelurahan,1101052009,Alue Baro
70,Kelurahan,1101052010,Ladang Tuha
71,Kelurahan,1101052011,Lhok Mamplam
72,Kelurahan,1101052012,Arun Tunggai
73,Kelurahan,1101052013,Blang Teungoh
74,Kelurahan,1101052014,Blang Bladeh
75,Kelurahan,1101052015,Ie Buboh
76,Kelurahan,1101052016,Keude Meukek
77,Kelurahan,1101052017,Kuta Baro
78,Kelurahan,1101052018,Tanjung Harapan
79,Kelurahan,1101052019,Labuhan Tarok
80,Kelurahan,1101052020,Lhok Aman
81,Kelurahan,1101052021,Alue Meutuah
82,Kelurahan,1101052022,Ladang Baro
83,Kelurahan,1101052023,Labuhan Tarok II
84,Kelurahan,1101062001,Dalam
85,Kelurahan,1101062002,Subarang
86,Kelurahan,1101062003,Kuta Baru
87,Kelurahan,1101062004,Gunung Ketek
88,Kelurahan,1101062005,Ladang Panton Luas
89,Kelurahan,1101062006,Madat
90,Kelurahan,1101062007,Alur Seumerah
91,Kelurahan,1101062008,Tengah
92,Kelurahan,1101062009,Gunung Cut
93,Kelurahan,1101062010,Alur Pinang
94,Kelurahan,1101062011,Kuta Blang
95,Kelurahan,1101062012,Batee Tunggai
96,Kelurahan,1101062013,Ujung Tanah
97,Kelurahan,1101062014,Ujung Kampung
98,Kelurahan,1101062015,Jilatang
99,Kelurahan,1101062016,Luar
100,Kelurahan,1101062017,Lubuk Layu
101,Kelurahan,1101062018,Suaq Hulu
102,Kelurahan,1101062019,Tampang
103,Kelurahan,1101062020,Payonan Gadang
104,Kelurahan,1101062021,Gadang
105,Kelurahan,1101062022,Baru
106,Kelurahan,1101062023,Ladang Kasik Putih
107,Kelurahan,1101062024,Air Sialang Hilir.
108,Kelurahan,1101062025,Air Sialang Hulu
109,Kelurahan,1101062026,Air Sialang Tengah
110,Kelurahan,1101062027,Balai
111,Kelurahan,1101062028,Arafah
112,Kelurahan,1101072001,Sikulat
113,Kelurahan,1101072002,Sawang I
114,Kelurahan,1101072003,Meuligo
115,Kelurahan,1101072004,Lhok Pawoh
116,Kelurahan,1101072005,Sawang II
117,Kelurahan,1101072006,Ujung Karang
118,Kelurahan,1101072007,Trieng Meuduro Baroh
119,Kelurahan,1101072008,Trieng Meuduro Tunong
120,Kelurahan,1101072009,Panton Luas
121,Kelurahan,1101072010,Simpang Tiga
122,Kelurahan,1101072011,Kuta Baro
123,Kelurahan,1101072012,Blang Geulinggang
124,Kelurahan,1101072013,Mutiara
125,Kelurahan,1101072014,Ujung Padang
126,Kelurahan,1101072015,Sawang Ba'u
127,Kelurahan,1101082001,Lhok Keutapang
128,Kelurahan,1101082002,Hilir
129,Kelurahan,1101082003,Padang
130,Kelurahan,1101082004,Hulu
131,Kelurahan,1101082005,Jambo Apha
132,Kelurahan,1101082006,Tepi Air
133,Kelurahan,1101082007,Pasar
134,Kelurahan,1101082008,Lhok Bengkuang
135,Kelurahan,1101082009,Panton Luas
136,Kelurahan,1101082010,Gunung Kerambil
137,Kelurahan,1101082011,Air Berudang
